Orthogroup	Mafric	Mavium
OG0000001	CCC28213.1, CCC28214.1	AAS05732.1, AAS05733.1
OG0000001	CCC26900.1	AAS03835.1, AAS03469.1
OG0000001	CCC25996.1, CCC25462.1	AAS03838.1
OG0000001	CCC27843.1, CCC26122.1	AAS04892.1
OG0000001	CCC28202.1, CCC27438.1, CCC27435.1	AAS04453.1
OG0000001	CCC26647.1, CCC27011.1, CCC27010.1, CCC28428.1, CCC25959.1, CCC26842.1, CCC28238.1, CCC27439.1, CCC28639.1, CCC25379.1, CCC25838.1	AAS06489.1
OG0000001	CCC25428.1	AAS03472.1, AAS05244.1, AAS05970.1, AAS05969.1
OG0000002	CCC26272.1	AAS04920.1
OG0000002	CCC27133.1	AAS04113.1
OG0000002	CCC26752.1	AAS03688.1
OG0000002	CCC28909.1	AAS06314.1
OG0000003	CCC25329.1	AAS04912.1
OG0000003	CCC28817.1	AAS06275.1
OG0000003	CCC25354.1, CCC25527.1	AAS06315.1, AAS06040.1
OG0000003	CCC28956.1	AAS02441.1, AAS04051.1
OG0000003	CCC28094.1, CCC28098.1, CCC25360.1	AAS06332.1
OG0000004	CCC27084.1	AAS04056.1, AAS06127.1, AAS03019.1, AAS06143.1, AAS02583.1, AAS04847.1, AAS05268.1, AAS05878.1, AAS03015.1, AAS04976.1, AAS05563.1, AAS04967.1, AAS05809.1, AAS04665.1, AAS05801.1, AAS04710.1, AAS03694.1, AAS05770.1, AAS04104.1, AAS06057.1, AAS03026.1, AAS03772.1, AAS02895.1, AAS03753.1, AAS05062.1, AAS02667.1, AAS06053.1, AAS03698.1, AAS05880.1, AAS05685.1, AAS04843.1, AAS03071.1, AAS04024.1, AAS06429.1
OG0000005	CCC26276.1	AAS04913.1
OG0000005	CCC26628.1, CCC26620.1	AAS06302.1, AAS04180.1
OG0000005	CCC25478.1	AAS05834.1
OG0000005	CCC28025.1, CCC28005.1	AAS04179.1
OG0000006	CCC27493.1, CCC26895.1	AAS06694.1
OG0000006	CCC26880.1, CCC26883.1	AAS04893.1, AAS03824.1
OG0000006	CCC28559.1	AAS03831.1
OG0000007	CCC25545.1	AAS06514.1
OG0000007	CCC25726.1	AAS06667.1
OG0000007	CCC25544.1	AAS06513.1
OG0000007	CCC28474.1, CCC25724.1, CCC25725.1	AAS06645.1
OG0000008	CCC28626.1	AAS04661.1, AAS03091.1, AAS02985.1, AAS04183.1, AAS03044.1, AAS06618.1, AAS04500.1, AAS04966.1, AAS04682.1, AAS04699.1, AAS04842.1, AAS03069.1, AAS04347.1, AAS04296.1, AAS04901.1, AAS06368.1, AAS04688.1, AAS04578.1, AAS03931.1, AAS02839.1
OG0000009	CCC25476.1, CCC25586.1, CCC26656.1	AAS05597.1
OG0000009	CCC27422.1, CCC25757.1	AAS04055.1
OG0000012	CCC25852.1	AAS02919.1
OG0000013	CCC26158.1	AAS06442.1
OG0000013	CCC28792.1	AAS05112.1
OG0000013	CCC28636.1	AAS06487.1, AAS03130.1, AAS03564.1
OG0000013	CCC28598.1	AAS02845.1, AAS03474.1, AAS02865.1
OG0000014	CCC26655.1	AAS06300.1, AAS06496.1, AAS02392.1, AAS05598.1
OG0000014	CCC25758.1	AAS06439.1, AAS04555.1, AAS04054.1
OG0000014	CCC25525.1	AAS03558.1
OG0000016	CCC28583.1	AAS02879.1
OG0000016	CCC25666.1	AAS06632.1
OG0000017	CCC28641.1	AAS02999.1, AAS03033.1, AAS04679.1, AAS04065.1, AAS03065.1, AAS03030.1, AAS04668.1, AAS04972.1, AAS04544.1, AAS03775.1, AAS04902.1, AAS04702.1, AAS06135.1, AAS04669.1, AAS02824.1
OG0000018	CCC26818.1	AAS06739.1
OG0000018	CCC25912.1	AAS05935.1, AAS06614.1, AAS04393.1, AAS06431.1, AAS02539.1, AAS03199.1, AAS06741.1, AAS06740.1, AAS06747.1, AAS02980.1
OG0000020	CCC26747.1, CCC27889.1, CCC28206.1, CCC26856.1, CCC28406.1, CCC26260.1	AAS04473.1
OG0000021	CCC26225.1	AAS04962.1, AAS06200.1, AAS06208.1, AAS05065.1, AAS04712.1, AAS02471.1, AAS04707.1, AAS06475.1, AAS03200.1, AAS03000.1, AAS04715.1, AAS04716.1, AAS03998.1
OG0000024	CCC26978.1	AAS03926.1
OG0000024	CCC28888.1	AAS02533.1
OG0000024	CCC25203.1	AAS06081.1
OG0000026	CCC26021.1	AAS03816.1, AAS06737.1, AAS02445.1, AAS06134.1, AAS03747.1, AAS03915.1, AAS04798.1, AAS02543.1, AAS04371.1, AAS04280.1, AAS03201.1
OG0000028	CCC26884.1, CCC26121.1, CCC26288.1, CCC27430.1, CCC27437.1	AAS03825.1
OG0000029	CCC28162.1	AAS04855.1, AAS04698.1, AAS04515.1, AAS05091.1, AAS03756.1, AAS02366.1, AAS03700.1
OG0000029	CCC26336.1	AAS04854.1
OG0000030	CCC28407.1, CCC28829.1, CCC27890.1, CCC26855.1	AAS04472.1
OG0000031	CCC25239.1	AAS06151.1, AAS02997.1, AAS04717.1, AAS06209.1, AAS04672.1, AAS05064.1, AAS04659.1, AAS03097.1, AAS04505.1, AAS06054.1, AAS04388.1
OG0000032	CCC25668.1	AAS06634.1
OG0000033	CCC25669.1	AAS06635.1
OG0000033	CCC25243.1	AAS04507.1, AAS03077.1, AAS04169.1, AAS02426.1, AAS04432.1
OG0000034	CCC26359.1, CCC26357.1	AAS04821.1
OG0000034	CCC26012.1	AAS05937.1
OG0000035	CCC28904.1	AAS06271.1, AAS04011.1
OG0000035	CCC28908.1	AAS06313.1
OG0000036	CCC26879.1, CCC26882.1, CCC26793.1, CCC26881.1	AAS03823.1
OG0000037	CCC26050.1	AAS06834.1
OG0000038	CCC26480.1	AAS02439.1
OG0000038	CCC25359.1	AAS06331.1
OG0000040	CCC26007.1	AAS04103.1, AAS04554.1, AAS02649.1, AAS05198.1, AAS04840.1, AAS04513.1, AAS04330.1, AAS06169.1, AAS06126.1, AAS03187.1
OG0000041	CCC26487.1	AAS03444.1, AAS04335.1, AAS04517.1, AAS06144.1, AAS03758.1, AAS03937.1, AAS06059.1, AAS03780.1, AAS03767.1, AAS04693.1
OG0000042	CCC25467.1	AAS03370.1
OG0000044	CCC28907.1	AAS04550.1, AAS05628.1
OG0000044	CCC26274.1	AAS04549.1
OG0000045	CCC26412.1, CCC26415.1, CCC26413.1, CCC26414.1	AAS04757.1
OG0000046	CCC26848.1	AAS06045.1, AAS04337.1
OG0000046	CCC28802.1	AAS03793.1, AAS05978.1, AAS04621.1, AAS02650.1
OG0000047	CCC26902.1	AAS03840.1, AAS03837.1, AAS03471.1, AAS05102.1, AAS05706.1, AAS05103.1, AAS05968.1, AAS02904.1, AAS03834.1
OG0000048	CCC25672.1	AAS03081.1, AAS04510.1, AAS06638.1
OG0000048	CCC25246.1	AAS06158.1
OG0000049	CCC25466.1	AAS05813.1, AAS03745.1, AAS06424.1
OG0000049	CCC26946.1	AAS03878.1
OG0000050	CCC26623.1, CCC26625.1	AAS06312.1, AAS05713.1, AAS03991.1, AAS05188.1
OG0000051	CCC26790.1	AAS05197.1, AAS05769.1, AAS04201.1, AAS03936.1, AAS05882.1, AAS04812.1, AAS06010.1, AAS03749.1, AAS03782.1
OG0000053	CCC27326.1	AAS04315.1
OG0000053	CCC27327.1	AAS06035.1, AAS04316.1
OG0000054	CCC28610.1	AAS02854.1, AAS03695.1, AAS05877.1, AAS06856.1, AAS02375.1, AAS06099.1, AAS02605.1, AAS02604.1
OG0000055	CCC28637.1	AAS03003.1, AAS04377.1, AAS03337.1, AAS04724.1, AAS03041.1, AAS04963.1, AAS05887.1, AAS02827.1
OG0000056	CCC28645.1	AAS02820.1, AAS04680.1, AAS03776.1, AAS03064.1, AAS04545.1, AAS03032.1, AAS04670.1, AAS02998.1
OG0000057	CCC25176.1	AAS04187.1, AAS04188.1, AAS03559.1, AAS04186.1, AAS03737.1, AAS04489.1
OG0000058	CCC28500.1	AAS06815.1
OG0000058	CCC25514.1	AAS06486.1
OG0000060	CCC26013.1	AAS06722.1, AAS05938.1
OG0000060	CCC26009.1	AAS03189.1
OG0000061	CCC27089.1	AAS04356.1, AAS05043.1
OG0000061	CCC26268.1	AAS04924.1
OG0000064	CCC26744.1	AAS03686.1
OG0000064	CCC26753.1	AAS04959.1, AAS03689.1
OG0000065	CCC27375.1	AAS05037.1, AAS06596.1, AAS04069.1, AAS03488.1, AAS03272.1, AAS05808.1
OG0000066	CCC28638.1	AAS02826.1, AAS04975.1, AAS03042.1, AAS02469.1, AAS02391.1, AAS04686.1, AAS03286.1
OG0000067	CCC28716.1	AAS02345.1, AAS03467.1, AAS04591.1, AAS04467.1, AAS02421.1, AAS06309.1, AAS03166.1
OG0000069	CCC25241.1	AAS06153.1
OG0000069	CCC25667.1	AAS06633.1
OG0000070	CCC25670.1	AAS06636.1
OG0000070	CCC25244.1	AAS06156.1
OG0000071	CCC25671.1	AAS06637.1
OG0000071	CCC25245.1	AAS06157.1
OG0000072	CCC25673.1	AAS06639.1
OG0000072	CCC25247.1	AAS06159.1
OG0000073	CCC25290.1	AAS04681.1, AAS06145.1, AAS03762.1, AAS03755.1, AAS04052.1, AAS06205.1
OG0000074	CCC26561.1	AAS03512.1
OG0000074	CCC25317.1	AAS06244.1
OG0000075	CCC25334.1	AAS06257.1
OG0000075	CCC27411.1	AAS04419.1
OG0000077	CCC26161.1	AAS03340.1
OG0000077	CCC28569.1	AAS03773.1
OG0000078	CCC26310.1	AAS05763.1, AAS03666.1, AAS04028.1, AAS03087.1, AAS05645.1, AAS04876.1
OG0000079	CCC26450.1	AAS03266.1, AAS03663.1
OG0000080	CCC26520.1	AAS03475.1
OG0000080	CCC27570.1	AAS04618.1
OG0000081	CCC26657.1	AAS03788.1, AAS04791.1, AAS03382.1, AAS04499.1, AAS02443.1, AAS03580.1
OG0000082	CCC26808.1, CCC26865.1	AAS05092.1, AAS03763.1, AAS05055.1
OG0000083	CCC27087.1	AAS04071.1
OG0000083	CCC27111.1	AAS04058.1, AAS04059.1
OG0000084	CCC28982.1, CCC27166.1	AAS06876.1
OG0000085	CCC28618.1	AAS02847.1, AAS03013.1, AAS03750.1, AAS03008.1, AAS05948.1, AAS03800.1
OG0000086	CCC28843.1	AAS02587.1, AAS02572.1, AAS02584.1, AAS06860.1, AAS05745.1, AAS05672.1
OG0000088	CCC28268.1, CCC25138.1	AAS05841.1
OG0000089	CCC25141.1	AAS06597.1, AAS04036.1, AAS04043.1, AAS04100.1
OG0000090	CCC25142.1, CCC25513.1	AAS06483.1
OG0000091	CCC26180.1, CCC25144.1	AAS05016.1
OG0000093	CCC26217.1	AAS02615.1
OG0000093	CCC25540.1	AAS06509.1
OG0000094	CCC25598.1	AAS06561.1
OG0000094	CCC25858.1	AAS02925.1
OG0000095	CCC25609.1	AAS06576.1
OG0000095	CCC28959.1	AAS05591.1
OG0000096	CCC25641.1, CCC26071.1	AAS06608.1
OG0000097	CCC25839.1	AAS02745.1, AAS03167.1, AAS02906.1, AAS02570.1, AAS02981.1, AAS04619.1
OG0000098	CCC25850.1	AAS02917.1, AAS06140.1, AAS03047.1, AAS04849.1, AAS02653.1, AAS04368.1
OG0000099	CCC28194.1, CCC25897.1	AAS02962.1
OG0000100	CCC25925.1	AAS05902.1, AAS06867.1, AAS05823.1, AAS03006.1
OG0000101	CCC26155.1	AAS03094.1, AAS04714.1, AAS03910.1, AAS03334.1
OG0000102	CCC28411.1	AAS02547.1
OG0000102	CCC26360.1	AAS04820.1
OG0000103	CCC28027.1, CCC26622.1	AAS06310.1
OG0000104	CCC26836.1	AAS03774.1, AAS03648.1, AAS06016.1, AAS04417.1, AAS06015.1
OG0000105	CCC26947.1	AAS06459.1, AAS03112.1, AAS02492.1, AAS04666.1, AAS03880.1
OG0000106	CCC28125.1, CCC27062.1	AAS05643.1
OG0000107	CCC27112.1, CCC28210.1	AAS05818.1, AAS04057.1
OG0000108	CCC27136.1	AAS04116.1, AAS04117.1
OG0000109	CCC28981.1, CCC28980.1, CCC27167.1	AAS06875.1
OG0000110	CCC28028.1, CCC27536.1	AAS04589.1
OG0000111	CCC27546.1	AAS06289.1, AAS03949.1
OG0000113	CCC27758.1, CCC27759.1	AAS05122.1
OG0000114	CCC28079.1	AAS05586.1, AAS05803.1, AAS06062.1, AAS06225.1
OG0000115	CCC28452.1	AAS06646.1, AAS03063.1, AAS04974.1, AAS06025.1
OG0000116	CCC28582.1	AAS02880.1, AAS03075.1, AAS02410.1, AAS04167.1, AAS02424.1
OG0000117	CCC28585.1	AAS03046.1, AAS04662.1, AAS02984.1, AAS03070.1, AAS02877.1
OG0000118	CCC28652.1	AAS02814.1, AAS03765.1, AAS03973.1, AAS03402.1, AAS04339.1
OG0000119	CCC28899.1	AAS02523.1
OG0000119	CCC28898.1	AAS02524.1
OG0000121	CCC25081.1	AAS02324.1
OG0000122	CCC25152.1	AAS06841.1, AAS03285.1
OG0000123	CCC25355.1, CCC25974.1	AAS06327.1
OG0000124	CCC25361.1, CCC28097.1	AAS06333.1
OG0000125	CCC25362.1, CCC28096.1	AAS06334.1
OG0000126	CCC25430.1	AAS05036.1, AAS04696.1, AAS06420.1
OG0000127	CCC25481.1	AAS05668.1, AAS02688.1, AAS06434.1
OG0000128	CCC25506.1	AAS06822.1, AAS04448.1, AAS06471.1
OG0000129	CCC25876.1	AAS03422.1, AAS06055.1, AAS04569.1, AAS02945.1
OG0000130	CCC25896.1, CCC28195.1	AAS02961.1
OG0000131	CCC25902.1	AAS02971.1
OG0000132	CCC25906.1	AAS04519.1, AAS02975.1, AAS04521.1
OG0000133	CCC25938.1	AAS03104.1
OG0000133	CCC25937.1	AAS03103.1
OG0000134	CCC26231.1, CCC26230.1	AAS04956.1
OG0000135	CCC26458.1	AAS03084.1, AAS04424.1, AAS04426.1, AAS03067.1
OG0000136	CCC26472.1, CCC28151.1	AAS05699.1
OG0000137	CCC26576.1	AAS03524.1, AAS05985.1, AAS05984.1
OG0000138	CCC26589.1	AAS02991.1, AAS02990.1, AAS03543.1
OG0000139	CCC27016.1, CCC26593.1	AAS03545.1
OG0000141	CCC26901.1	AAS03839.1
OG0000142	CCC26972.1	AAS02661.1, AAS04350.1, AAS03920.1
OG0000143	CCC27026.1	AAS04667.1, AAS04973.1, AAS04703.1
OG0000144	CCC27097.1	AAS05549.1, AAS02346.1
OG0000145	CCC27117.1, CCC28204.1	AAS04060.1
OG0000146	CCC28833.1, CCC27390.1	AAS03183.1
OG0000147	CCC27481.1	AAS04125.1, AAS03427.1, AAS02461.1, AAS04527.1
OG0000148	CCC27644.1, CCC27645.1	AAS03391.1
OG0000149	CCC27756.1	AAS05120.1
OG0000150	CCC27803.1	AAS04640.1, AAS04379.1, AAS05838.1, AAS05160.1
OG0000151	CCC27900.1, CCC27903.1	AAS05220.1
OG0000152	CCC28013.1	AAS03553.1, AAS03554.1, AAS06082.1
OG0000154	CCC28047.1	AAS06699.1, AAS03224.1, AAS05555.1
OG0000155	CCC28219.1	AAS05738.1, AAS06068.1, AAS06353.1, AAS02580.1
OG0000156	CCC28304.1	AAS05875.1, AAS02989.1, AAS03759.1, AAS05673.1
OG0000157	CCC28311.1	AAS05893.1, AAS02413.1, AAS02414.1, AAS06096.1
OG0000158	CCC28383.1	AAS05973.1
OG0000159	CCC28385.1	AAS05975.1
OG0000160	CCC28386.1	AAS05976.1, AAS05035.1
OG0000161	CCC28388.1	AAS05979.1
OG0000162	CCC28389.1	AAS05980.1
OG0000163	CCC28392.1	AAS05983.1
OG0000164	CCC28395.1	AAS05988.1
OG0000165	CCC28397.1	AAS05990.1
OG0000166	CCC28398.1	AAS05991.1
OG0000167	CCC28399.1	AAS05992.1
OG0000168	CCC28413.1	AAS05836.1, AAS04269.1
OG0000169	CCC28414.1	AAS04483.1, AAS04087.1, AAS03263.1, AAS05996.1
OG0000170	CCC28427.1	AAS06009.1, AAS04007.1, AAS04392.1, AAS06647.1
OG0000171	CCC28439.1, CCC28430.1	AAS06012.1
OG0000173	CCC28622.1	AAS02843.1, AAS04906.1, AAS03778.1, AAS04656.1
OG0000174	CCC28651.1	AAS02815.1, AAS03769.1, AAS03017.1, AAS03010.1
OG0000175	CCC28721.1	AAS05012.1, AAS06816.1, AAS02743.1
OG0000176	CCC28818.1	AAS02448.1
OG0000176	CCC28812.1	AAS02664.1
OG0000177	CCC28845.1	AAS02901.1, AAS02643.1, AAS02578.1
OG0000178	CCC28847.1	AAS05939.1, AAS05941.1, AAS03538.1, AAS02576.1
OG0000179	CCC28875.1	AAS04136.1, AAS04135.1, AAS02551.1
OG0000182	CCC25095.1	AAS05039.1
OG0000183	CCC25120.1	AAS02377.1
OG0000186	CCC25192.1	AAS06226.1, AAS06072.1
OG0000187	CCC25205.1	AAS06089.1, AAS02582.1, AAS05670.1
OG0000188	CCC25238.1	AAS06148.1
OG0000189	CCC25254.1	AAS02348.1, AAS06111.1, AAS06167.1
OG0000190	CCC25263.1	AAS06296.1, AAS06182.1
OG0000191	CCC25269.1	AAS06185.1, AAS02472.1, AAS06211.1
OG0000192	CCC25287.1	AAS03802.1, AAS04671.1, AAS06199.1
OG0000193	CCC25288.1	AAS06201.1, AAS04726.1, AAS04722.1
OG0000194	CCC25346.1	AAS06268.1, AAS04579.1, AAS05743.1
OG0000196	CCC25384.1	AAS04067.1, AAS06050.1, AAS06347.1
OG0000197	CCC25424.1	AAS06390.1, AAS05667.1
OG0000198	CCC25426.1	AAS04012.1, AAS06392.1
OG0000199	CCC25507.1	AAS02418.1, AAS02417.1, AAS06472.1
OG0000200	CCC25566.1	AAS06532.1, AAS05822.1
OG0000201	CCC25574.1	AAS06538.1
OG0000202	CCC25580.1	AAS05284.1, AAS06543.1
OG0000203	CCC25590.1	AAS06554.1
OG0000204	CCC25622.1	AAS06589.1, AAS04081.1
OG0000205	CCC25637.1	AAS03982.1, AAS06605.1
OG0000206	CCC25680.1, CCC28074.1	AAS03418.1
OG0000208	CCC25735.1	AAS03641.1, AAS02782.1, AAS06678.1
OG0000209	CCC25766.1	AAS06693.1, AAS02681.1
OG0000210	CCC25805.1	AAS06738.1
OG0000211	CCC25810.1	AAS02446.1, AAS02669.1, AAS06744.1
OG0000212	CCC25835.1	AAS02349.1, AAS02467.1, AAS06764.1
OG0000213	CCC25842.1	AAS05940.1, AAS03539.1, AAS02909.1
OG0000214	CCC25845.1	AAS02912.1, AAS06052.1, AAS04683.1
OG0000215	CCC25866.1	AAS05693.1, AAS02936.1, AAS02935.1
OG0000216	CCC25903.1	AAS02972.1, AAS02449.1
OG0000217	CCC25940.1	AAS03106.1, AAS04031.1
OG0000218	CCC25941.1	AAS03107.1, AAS04032.1
OG0000219	CCC25961.1	AAS06460.1, AAS03136.1
OG0000220	CCC25966.1	AAS03141.1, AAS03204.1
OG0000221	CCC25983.1	AAS02470.1, AAS03150.1
OG0000222	CCC26010.1	AAS02969.1, AAS03190.1
OG0000223	CCC26011.1	AAS02970.1, AAS03191.1
OG0000224	CCC26053.1	AAS03227.1, AAS03040.1, AAS05744.1
OG0000225	CCC26068.1	AAS06757.1, AAS02368.1, AAS02891.1
OG0000226	CCC26105.1	AAS03307.1, AAS05681.1
OG0000230	CCC26164.1	AAS03343.1, AAS05601.1
OG0000231	CCC26167.1	AAS03346.1, AAS05310.1
OG0000232	CCC26240.1	AAS04577.1, AAS04950.1
OG0000233	CCC26254.1	AAS04934.1
OG0000234	CCC26261.1	AAS05787.1, AAS04930.1
OG0000235	CCC26265.1	AAS04182.1, AAS03460.1, AAS04926.1
OG0000236	CCC26291.1	AAS05775.1, AAS02450.1, AAS04896.1
OG0000237	CCC26303.1	AAS03271.1, AAS03153.1, AAS04882.1
OG0000238	CCC26351.1	AAS04831.1
OG0000239	CCC26387.1	AAS04786.1, AAS03303.1
OG0000240	CCC26392.1	AAS06321.1, AAS04780.1
OG0000241	CCC26394.1	AAS04778.1, AAS02690.1
OG0000242	CCC26445.1	AAS04730.1, AAS06284.1, AAS06285.1
OG0000243	CCC26459.1	AAS03068.1, AAS04427.1, AAS03085.1
OG0000245	CCC26566.1	AAS05669.1, AAS03514.1
OG0000246	CCC26583.1	AAS05731.1, AAS03531.1
OG0000247	CCC26592.1	AAS03004.1, AAS03544.1
OG0000248	CCC28706.1, CCC26609.1	AAS02750.1
OG0000249	CCC26612.1, CCC28031.1	AAS03550.1
OG0000250	CCC26664.1	AAS03588.1, AAS06560.1
OG0000251	CCC26679.1	AAS03428.1, AAS03607.1
OG0000252	CCC26700.1	AAS03626.1, AAS06455.1
OG0000253	CCC26719.1	AAS03655.1, AAS06355.1
OG0000254	CCC26723.1	AAS03667.1, AAS06835.1, AAS03066.1
OG0000255	CCC26729.1	AAS05705.1, AAS03883.1, AAS03673.1
OG0000256	CCC26789.1	AAS04465.1, AAS03725.1
OG0000257	CCC26797.1	AAS03727.1, AAS03269.1
OG0000258	CCC26912.1	AAS03850.1, AAS05548.1
OG0000259	CCC26969.1	AAS03913.1, AAS04398.1
OG0000260	CCC26975.1	AAS03134.1, AAS03923.1
OG0000261	CCC26984.1	AAS03932.1, AAS03086.1
OG0000262	CCC26995.1	AAS03943.1, AAS03740.1, AAS06384.1
OG0000263	CCC26999.1	AAS03947.1, AAS04638.1
OG0000264	CCC27029.1	AAS03014.1, AAS02762.1, AAS03962.1
OG0000265	CCC27122.1	AAS06649.1, AAS04082.1
OG0000266	CCC27160.1	AAS03534.1, AAS03650.1, AAS04789.1
OG0000268	CCC27213.1	AAS04194.1, AAS04375.1
OG0000269	CCC27227.1	AAS04206.1
OG0000270	CCC27254.1	AAS06396.1, AAS05617.1, AAS04228.1
OG0000272	CCC27274.1	AAS04249.1, AAS03090.1
OG0000273	CCC27276.1	AAS04251.1
OG0000274	CCC27282.1	AAS03738.1, AAS04258.1
OG0000275	CCC27297.1	AAS04274.1, AAS05613.1
OG0000276	CCC27323.1	AAS04312.1, AAS06227.1
OG0000277	CCC27373.1	AAS06087.1, AAS02662.1, AAS04374.1
OG0000278	CCC27414.1	AAS02684.1, AAS04422.1, AAS04421.1
OG0000279	CCC27443.1	AAS06323.1, AAS04456.1
OG0000280	CCC27460.1	AAS04485.1, AAS04484.1
OG0000281	CCC27461.1	AAS04486.1, AAS03736.1, AAS04189.1
OG0000282	CCC27474.1	AAS02431.1, AAS04174.1, AAS02407.1
OG0000283	CCC27501.1	AAS05231.1, AAS04642.1, AAS02466.1
OG0000284	CCC27556.1	AAS04998.1, AAS04607.1
OG0000286	CCC27603.1	AAS03987.1, AAS04639.1
OG0000287	CCC27610.1	AAS03984.1, AAS04651.1
OG0000288	CCC27669.1	AAS03366.1, AAS03367.1
OG0000289	CCC27745.1	AAS03742.1, AAS05108.1
OG0000290	CCC27764.1	AAS04922.1, AAS05124.1
OG0000291	CCC27773.1	AAS02701.1, AAS05133.1
OG0000292	CCC27823.1	AAS03182.1, AAS05176.1
OG0000293	CCC27921.1	AAS04185.1, AAS05232.1
OG0000294	CCC27961.1	AAS05270.1, AAS05687.1, AAS06837.1
OG0000295	CCC28003.1	AAS04493.1, AAS06295.1
OG0000296	CCC28056.1	AAS03739.1, AAS05567.1
OG0000297	CCC28057.1	AAS05568.1
OG0000298	CCC28062.1	AAS04573.1, AAS05573.1
OG0000299	CCC28063.1	AAS05574.1, AAS04572.1
OG0000300	CCC28071.1	AAS05581.1, AAS06230.1
OG0000301	CCC28113.1	AAS05840.1, AAS02404.1, AAS05632.1
OG0000302	CCC28116.1	AAS05635.1
OG0000303	CCC28122.1	AAS03930.1, AAS05641.1
OG0000304	CCC28142.1	AAS06001.1, AAS05675.1
OG0000305	CCC28179.1	AAS06281.1, AAS05720.1
OG0000307	CCC28246.1	AAS05771.1, AAS06441.1, AAS06098.1
OG0000308	CCC28250.1	AAS04027.1, AAS02401.1, AAS05777.1
OG0000309	CCC28290.1	AAS03798.1, AAS05862.1
OG0000311	CCC28335.1	AAS04232.1, AAS02798.1, AAS05916.1
OG0000312	CCC28351.1	AAS05934.1
OG0000313	CCC28354.1	AAS06610.1, AAS02444.1
OG0000314	CCC28366.1	AAS05954.1, AAS05190.1
OG0000315	CCC28369.1	AAS03813.1, AAS02700.1, AAS05958.1
OG0000316	CCC28381.1	AAS05972.1
OG0000317	CCC28387.1	AAS05977.1
OG0000318	CCC28390.1	AAS05981.1
OG0000319	CCC28391.1	AAS05982.1
OG0000320	CCC28396.1	AAS05989.1
OG0000321	CCC28423.1	AAS06004.1
OG0000322	CCC28489.1	AAS06279.1, AAS02555.1, AAS05683.1
OG0000323	CCC28547.1	AAS03109.1, AAS06776.1, AAS06777.1
OG0000324	CCC28549.1	AAS03282.1, AAS06774.1
OG0000325	CCC28566.1	AAS02896.1, AAS06115.1
OG0000326	CCC28596.1	AAS04697.1, AAS04705.1, AAS02867.1
