Orthogroup	Mafric	Mavium
OG0000327	CCC28653.1	AAS02813.1, AAS05686.1, AAS02996.1
OG0000328	CCC28710.1	AAS02747.1, AAS05796.1
OG0000329	CCC28724.1	AAS02986.1, AAS02740.1
OG0000330	CCC28752.1	AAS02715.1, AAS02399.1
OG0000331	CCC28795.1	AAS02635.1, AAS04338.1
OG0000332	CCC28849.1	AAS02573.1, AAS06628.1, AAS06629.1
OG0000333	CCC28883.1	AAS02538.1, AAS04689.1
OG0000334	CCC28884.1	AAS02537.1
OG0000335	CCC28939.1	AAS02496.1
OG0000342	CCC25075.1	AAS02318.1
OG0000343	CCC25076.1	AAS02319.1
OG0000344	CCC25077.1	AAS02320.1
OG0000345	CCC25078.1	AAS02321.1
OG0000346	CCC25079.1	AAS02322.1
OG0000347	CCC25080.1	AAS02323.1
OG0000348	CCC25083.1	AAS02328.1
OG0000349	CCC25085.1	AAS02330.1
OG0000350	CCC25087.1	AAS02332.1
OG0000351	CCC25088.1	AAS02333.1
OG0000352	CCC25089.1	AAS02335.1
OG0000353	CCC25090.1	AAS02336.1
OG0000354	CCC25091.1	AAS02337.1
OG0000355	CCC25092.1	AAS02338.1
OG0000356	CCC25093.1	AAS02339.1
OG0000357	CCC25094.1	AAS02340.1
OG0000358	CCC25098.1	AAS02353.1
OG0000359	CCC25112.1	AAS02362.1
OG0000360	CCC25114.1	AAS02364.1
OG0000361	CCC25115.1	AAS02365.1
OG0000362	CCC25116.1	AAS02367.1
OG0000363	CCC25118.1	AAS06306.1, AAS02371.1
OG0000364	CCC25121.1	AAS02378.1
OG0000365	CCC25123.1	AAS02380.1
OG0000366	CCC25124.1	AAS02381.1
OG0000367	CCC25125.1	AAS02382.1
OG0000368	CCC25127.1	AAS02384.1
OG0000369	CCC25128.1	AAS02385.1
OG0000370	CCC25129.1	AAS02386.1
OG0000371	CCC25130.1	AAS02387.1
OG0000372	CCC25132.1	AAS02388.1
OG0000373	CCC25140.1	AAS06006.1
OG0000374	CCC25148.1	AAS05688.1, AAS03035.1
OG0000375	CCC25177.1	AAS04614.1
OG0000376	CCC25181.1	AAS06297.1, AAS06320.1
OG0000377	CCC25182.1	AAS06048.1
OG0000378	CCC25186.1	AAS06064.1
OG0000379	CCC25189.1	AAS05799.1, AAS03254.1
OG0000380	CCC25191.1	AAS06070.1
OG0000381	CCC25194.1	AAS06074.1
OG0000382	CCC25199.1	AAS06077.1
OG0000383	CCC25210.1	AAS03661.1, AAS06103.1
OG0000384	CCC25211.1	AAS06104.1
OG0000385	CCC25212.1	AAS06105.1, AAS03967.1
OG0000386	CCC25214.1	AAS06136.1, AAS06107.1
OG0000387	CCC25220.1	AAS06114.1
OG0000388	CCC25221.1	AAS06116.1
OG0000389	CCC25222.1	AAS06117.1, AAS06060.1
OG0000390	CCC25229.1	AAS06122.1
OG0000391	CCC25230.1	AAS06123.1
OG0000392	CCC25231.1	AAS06124.1
OG0000393	CCC25235.1	AAS06128.1
OG0000394	CCC25248.1	AAS06160.1
OG0000395	CCC25249.1	AAS06161.1
OG0000396	CCC25250.1	AAS06162.1
OG0000397	CCC25251.1	AAS06163.1
OG0000398	CCC25253.1	AAS06166.1
OG0000399	CCC25256.1	AAS06172.1
OG0000400	CCC25257.1	AAS06173.1
OG0000401	CCC25258.1	AAS06174.1
OG0000402	CCC25262.1	AAS06181.1
OG0000403	CCC25275.1	AAS06187.1
OG0000404	CCC25276.1	AAS06188.1, AAS05791.1
OG0000405	CCC25277.1	AAS06189.1
OG0000406	CCC25279.1	AAS06191.1
OG0000407	CCC25280.1	AAS06192.1
OG0000408	CCC25281.1	AAS06193.1
OG0000409	CCC25284.1	AAS06196.1
OG0000410	CCC25289.1	AAS06202.1
OG0000411	CCC25296.1	AAS06213.1
OG0000412	CCC25297.1	AAS06214.1
OG0000413	CCC25298.1	AAS06215.1
OG0000414	CCC25299.1	AAS06216.1
OG0000415	CCC25300.1	AAS06217.1
OG0000416	CCC25306.1	AAS06223.1
OG0000417	CCC25308.1	AAS06236.1
OG0000418	CCC25310.1	AAS06238.1
OG0000419	CCC25311.1	AAS06239.1
OG0000420	CCC25314.1	AAS06241.1
OG0000421	CCC25315.1	AAS06242.1
OG0000422	CCC25316.1	AAS06243.1
OG0000423	CCC25318.1	AAS06246.1
OG0000424	CCC25323.1	AAS06250.1
OG0000425	CCC25336.1	AAS06258.1
OG0000426	CCC25337.1	AAS06259.1
OG0000427	CCC25343.1	AAS06264.1
OG0000428	CCC25344.1	AAS06266.1, AAS06853.1
OG0000429	CCC25345.1	AAS06267.1, AAS05740.1
OG0000430	CCC25356.1	AAS06328.1
OG0000431	CCC25357.1	AAS06329.1
OG0000432	CCC25358.1	AAS06330.1
OG0000433	CCC25363.1	AAS06335.1
OG0000434	CCC25364.1	AAS06336.1
OG0000435	CCC25365.1	AAS06337.1
OG0000436	CCC25366.1	AAS06338.1
OG0000437	CCC25376.1	AAS04340.1, AAS04049.1
OG0000438	CCC25382.1	AAS06345.1, AAS03582.1
OG0000439	CCC25383.1	AAS06346.1
OG0000440	CCC25385.1	AAS06349.1, AAS04512.1
OG0000441	CCC25389.1	AAS03978.1, AAS06354.1
OG0000442	CCC25395.1	AAS06370.1
OG0000443	CCC25396.1	AAS05802.1, AAS06375.1
OG0000444	CCC25408.1	AAS06378.1
OG0000445	CCC25411.1	AAS06380.1
OG0000446	CCC25412.1	AAS06381.1
OG0000447	CCC25425.1	AAS06391.1
OG0000448	CCC25427.1	AAS06393.1
OG0000449	CCC25431.1	AAS06419.1
OG0000450	CCC25432.1	AAS06417.1
OG0000451	CCC25434.1	AAS06414.1
OG0000452	CCC25435.1	AAS06413.1
OG0000453	CCC25438.1	AAS06412.1
OG0000454	CCC25454.1	AAS06409.1
OG0000455	CCC25456.1	AAS06407.1
OG0000456	CCC25457.1	AAS06405.1
OG0000457	CCC25458.1	AAS06403.1
OG0000458	CCC25464.1	AAS06422.1
OG0000459	CCC25465.1	AAS06423.1
OG0000460	CCC25475.1	AAS06430.1
OG0000461	CCC25480.1	AAS06433.1
OG0000462	CCC25484.1	AAS06443.1
OG0000463	CCC25485.1	AAS06444.1
OG0000464	CCC25488.1	AAS06447.1
OG0000465	CCC25489.1	AAS06448.1
OG0000466	CCC25490.1	AAS06449.1
OG0000467	CCC25491.1	AAS06450.1
OG0000468	CCC25492.1	AAS06457.1, AAS06456.1
OG0000469	CCC25496.1	AAS06462.1
OG0000470	CCC25497.1	AAS06463.1
OG0000471	CCC25500.1	AAS06465.1
OG0000472	CCC25503.1	AAS06468.1
OG0000473	CCC25504.1	AAS06469.1
OG0000474	CCC25505.1	AAS06470.1
OG0000475	CCC25509.1	AAS06478.1
OG0000476	CCC25510.1	AAS06479.1
OG0000477	CCC25511.1	AAS06480.1
OG0000478	CCC25529.1	AAS06498.1
OG0000479	CCC25537.1	AAS06506.1
OG0000480	CCC25538.1	AAS06507.1
OG0000481	CCC25539.1	AAS06508.1
OG0000482	CCC25541.1	AAS06510.1
OG0000483	CCC25543.1	AAS06512.1
OG0000484	CCC25548.1	AAS06515.1
OG0000485	CCC25551.1	AAS06518.1
OG0000486	CCC25552.1	AAS06519.1
OG0000487	CCC25553.1	AAS06520.1
OG0000488	CCC25554.1	AAS06521.1
OG0000489	CCC25555.1	AAS06522.1
OG0000490	CCC25556.1	AAS06523.1
OG0000491	CCC25557.1	AAS06524.1, AAS05712.1
OG0000492	CCC25558.1	AAS06525.1
OG0000493	CCC25559.1	AAS06526.1
OG0000494	CCC25562.1	AAS06529.1
OG0000495	CCC25563.1	AAS06530.1
OG0000496	CCC25565.1	AAS06531.1
OG0000497	CCC25567.1	AAS06533.1
OG0000498	CCC25572.1	AAS06536.1
OG0000499	CCC25573.1	AAS06537.1
OG0000500	CCC25575.1	AAS06539.1
OG0000501	CCC25577.1	AAS06541.1
OG0000502	CCC25578.1	AAS06542.1
OG0000503	CCC25581.1	AAS06544.1
OG0000504	CCC25582.1	AAS06545.1
OG0000505	CCC25583.1	AAS06546.1
OG0000506	CCC25584.1	AAS06547.1
OG0000507	CCC25588.1	AAS06552.1
OG0000508	CCC25589.1	AAS06553.1
OG0000509	CCC25591.1	AAS06555.1
OG0000510	CCC25603.1	AAS06570.1
OG0000511	CCC25604.1	AAS06571.1
OG0000512	CCC25605.1	AAS06572.1
OG0000513	CCC25606.1	AAS06573.1
OG0000514	CCC25607.1	AAS06574.1
OG0000515	CCC25608.1	AAS06575.1
OG0000516	CCC25610.1	AAS06577.1
OG0000517	CCC25613.1	AAS06579.1
OG0000518	CCC25621.1	AAS06588.1
OG0000519	CCC25623.1	AAS06590.1
OG0000520	CCC25624.1	AAS06591.1
OG0000521	CCC25625.1	AAS06592.1
OG0000522	CCC25626.1	AAS06046.1, AAS06593.1
OG0000523	CCC25627.1	AAS06594.1
OG0000524	CCC25632.1	AAS06600.1
OG0000525	CCC25633.1	AAS06601.1
OG0000526	CCC25634.1	AAS06602.1
OG0000527	CCC25635.1	AAS06603.1
OG0000528	CCC25638.1	AAS06606.1
OG0000529	CCC25640.1	AAS06607.1
OG0000530	CCC25642.1	AAS06609.1
OG0000531	CCC25713.1	AAS06654.1
OG0000532	CCC25714.1	AAS06655.1
OG0000533	CCC25715.1	AAS06656.1
OG0000534	CCC25716.1	AAS06657.1
OG0000535	CCC25717.1	AAS06658.1
OG0000536	CCC25718.1	AAS06659.1
OG0000537	CCC25719.1	AAS06660.1
OG0000538	CCC25720.1	AAS06661.1
OG0000539	CCC25721.1	AAS06662.1
OG0000540	CCC25722.1	AAS06663.1
OG0000541	CCC25723.1	AAS06666.1
OG0000542	CCC25727.1	AAS06668.1
OG0000543	CCC25728.1	AAS06669.1
OG0000544	CCC25732.1	AAS06675.1
OG0000545	CCC25733.1	AAS06676.1
OG0000546	CCC25736.1	AAS06679.1
OG0000547	CCC25748.1	AAS06680.1
OG0000548	CCC25749.1	AAS06681.1
OG0000549	CCC25751.1	AAS06682.1
OG0000550	CCC25763.1	AAS06690.1
OG0000551	CCC25764.1	AAS06691.1
OG0000552	CCC25765.1	AAS06692.1
OG0000553	CCC25781.1	AAS06710.1
OG0000554	CCC25782.1	AAS06711.1
OG0000555	CCC25783.1	AAS06712.1
OG0000556	CCC25784.1	AAS06713.1
OG0000557	CCC25785.1	AAS06714.1
OG0000558	CCC25786.1	AAS06715.1
OG0000559	CCC25787.1	AAS06716.1
OG0000560	CCC25788.1	AAS06717.1
OG0000561	CCC25789.1	AAS06718.1
OG0000562	CCC25790.1	AAS06719.1
OG0000563	CCC25791.1	AAS06720.1
OG0000564	CCC25794.1	AAS06723.1, AAS06725.1
OG0000565	CCC25795.1	AAS06727.1
OG0000566	CCC25796.1	AAS06728.1
OG0000567	CCC25797.1	AAS06729.1
OG0000568	CCC25798.1	AAS06730.1
OG0000569	CCC25799.1	AAS06731.1
OG0000570	CCC25800.1	AAS06732.1
OG0000571	CCC25801.1	AAS06733.1
OG0000572	CCC25802.1	AAS06734.1
OG0000573	CCC25803.1	AAS06735.1
OG0000574	CCC25804.1	AAS06736.1
OG0000575	CCC25812.1	AAS06746.1
OG0000576	CCC25814.1	AAS06748.1
OG0000577	CCC25815.1	AAS06749.1
OG0000578	CCC25816.1	AAS06750.1
OG0000579	CCC25834.1	AAS03061.1, AAS06763.1
OG0000580	CCC25843.1	AAS02910.1
OG0000581	CCC25844.1	AAS02911.1, AAS02858.1
OG0000582	CCC25851.1	AAS03796.1, AAS02918.1
OG0000583	CCC25854.1	AAS02921.1, AAS03048.1
OG0000584	CCC25855.1	AAS02922.1, AAS05098.1
OG0000585	CCC25856.1	AAS02923.1
OG0000586	CCC25861.1	AAS02928.1
OG0000587	CCC25864.1	AAS02931.1
OG0000588	CCC25865.1	AAS02932.1
OG0000589	CCC25871.1	AAS02942.1
OG0000590	CCC25872.1	AAS02943.1
OG0000591	CCC25882.1	AAS02949.1
OG0000592	CCC25885.1	AAS02952.1
OG0000593	CCC25887.1	AAS06770.1
OG0000594	CCC25889.1	AAS02954.1
OG0000595	CCC25890.1	AAS02955.1
OG0000596	CCC25891.1	AAS02956.1
OG0000597	CCC25892.1	AAS02957.1
OG0000598	CCC25893.1	AAS02958.1
OG0000599	CCC25895.1	AAS02960.1
OG0000600	CCC25898.1	AAS02964.1
OG0000601	CCC25899.1	AAS02965.1
OG0000602	CCC25901.1	AAS02967.1
OG0000603	CCC25905.1	AAS02974.1
OG0000604	CCC25907.1	AAS02976.1, AAS05704.1
OG0000605	CCC25920.1	AAS02988.1, AAS05622.1
OG0000606	CCC25927.1	AAS03018.1, AAS03744.1
OG0000607	CCC25934.1	AAS03100.1
OG0000608	CCC25935.1	AAS03956.1, AAS03101.1
OG0000609	CCC25942.1	AAS03116.1
OG0000610	CCC25943.1	AAS03117.1
OG0000611	CCC25944.1	AAS03118.1
OG0000612	CCC25948.1	AAS03122.1
OG0000613	CCC25952.1	AAS03127.1
OG0000614	CCC25956.1	AAS03131.1
OG0000615	CCC25957.1	AAS03132.1
OG0000616	CCC25958.1	AAS03133.1
OG0000617	CCC25960.1	AAS03135.1
OG0000618	CCC25964.1	AAS03139.1
OG0000619	CCC25965.1	AAS03140.1
OG0000620	CCC25967.1	AAS03142.1
OG0000621	CCC25977.1	AAS03146.1
OG0000622	CCC25984.1	AAS03151.1
OG0000623	CCC25986.1	AAS03157.1
OG0000624	CCC25991.1	AAS03162.1
OG0000625	CCC25993.1	AAS03163.1
OG0000626	CCC26005.1	AAS03186.1
OG0000627	CCC26019.1	AAS03197.1, AAS03646.1
OG0000628	CCC26022.1	AAS03202.1, AAS05782.1
OG0000629	CCC26025.1	AAS03645.1, AAS03206.1
OG0000630	CCC26027.1	AAS03208.1
OG0000631	CCC26029.1	AAS03209.1
OG0000632	CCC26030.1	AAS03210.1
OG0000633	CCC26031.1	AAS03212.1
OG0000634	CCC26032.1	AAS03213.1
OG0000635	CCC26033.1	AAS03214.1
OG0000636	CCC26035.1	AAS03217.1
OG0000637	CCC26036.1	AAS03218.1
OG0000638	CCC26037.1	AAS03219.1
OG0000639	CCC26038.1	AAS03220.1
OG0000640	CCC26047.1	AAS03225.1
OG0000641	CCC26051.1	AAS02397.1
OG0000642	CCC26061.1	AAS03232.1
OG0000643	CCC26063.1	AAS03233.1
OG0000644	CCC26064.1	AAS03234.1
OG0000645	CCC26065.1	AAS03235.1
OG0000646	CCC26066.1	AAS03236.1
OG0000647	CCC26067.1	AAS03237.1
OG0000648	CCC26069.1	AAS06756.1
OG0000649	CCC26073.1	AAS03239.1
OG0000650	CCC26074.1	AAS03240.1
OG0000651	CCC26075.1	AAS03241.1
OG0000652	CCC26076.1	AAS03242.1
OG0000653	CCC26077.1	AAS03243.1
OG0000654	CCC26078.1	AAS03244.1
OG0000655	CCC26080.1	AAS03255.1
OG0000656	CCC26084.1	AAS03260.1
OG0000657	CCC26085.1	AAS03261.1
OG0000658	CCC26088.1	AAS03265.1, AAS03268.1
OG0000659	CCC26089.1	AAS03289.1
OG0000660	CCC26090.1	AAS03290.1
OG0000661	CCC26091.1	AAS03291.1
OG0000662	CCC26092.1	AAS03292.1
OG0000663	CCC26093.1	AAS03293.1
OG0000664	CCC26095.1	AAS03294.1
OG0000665	CCC26096.1	AAS03295.1
OG0000666	CCC26097.1	AAS03296.1
OG0000667	CCC26098.1	AAS03298.1
OG0000668	CCC26099.1	AAS03300.1
OG0000669	CCC26100.1	AAS03301.1
OG0000670	CCC26102.1	AAS03304.1
OG0000671	CCC26106.1	AAS03308.1
OG0000672	CCC26107.1	AAS03309.1
OG0000673	CCC26108.1	AAS03310.1
OG0000674	CCC26156.1	AAS03335.1
OG0000675	CCC26157.1	AAS03336.1
OG0000676	CCC26163.1	AAS03342.1
OG0000677	CCC26165.1	AAS03344.1
OG0000678	CCC26166.1	AAS03345.1
OG0000679	CCC26168.1	AAS05024.1
OG0000680	CCC26171.1	AAS05020.1
OG0000682	CCC26179.1	AAS05017.1
OG0000683	CCC26181.1	AAS05015.1
OG0000684	CCC26182.1	AAS05014.1
OG0000685	CCC26183.1	AAS05013.1
OG0000686	CCC26185.1	AAS05010.1
OG0000687	CCC26186.1	AAS05009.1
OG0000688	CCC26187.1	AAS05008.1
OG0000689	CCC26193.1	AAS05005.1
OG0000690	CCC26194.1	AAS05004.1
OG0000691	CCC26195.1	AAS05003.1
OG0000692	CCC26196.1	AAS05002.1
OG0000693	CCC26197.1	AAS05001.1
OG0000694	CCC26198.1	AAS05000.1
OG0000695	CCC26199.1	AAS04999.1
OG0000696	CCC26209.1	AAS04004.1, AAS04988.1
OG0000697	CCC26215.1	AAS04981.1
OG0000698	CCC26220.1	AAS04644.1, AAS04979.1
OG0000699	CCC26221.1	AAS04978.1
OG0000700	CCC26233.1	AAS04954.1, AAS05664.1
OG0000701	CCC26235.1	AAS04641.1, AAS04952.1
OG0000702	CCC26236.1	AAS06755.1, AAS04951.1
OG0000703	CCC26244.1	AAS04947.1
OG0000704	CCC26246.1	AAS04943.1
OG0000705	CCC26247.1	AAS04942.1
OG0000706	CCC26248.1	AAS04941.1
OG0000707	CCC26249.1	AAS04940.1
OG0000708	CCC26252.1	AAS02686.1, AAS04936.1
OG0000709	CCC26255.1	AAS04933.1
OG0000710	CCC26256.1	AAS04932.1
OG0000711	CCC26262.1	AAS04929.1
OG0000712	CCC26264.1	AAS04928.1
OG0000713	CCC26269.1	AAS04923.1
OG0000714	CCC26275.1	AAS04551.1
OG0000715	CCC26284.1	AAS04897.1
OG0000716	CCC26292.1	AAS04895.1
OG0000717	CCC26293.1	AAS04891.1
OG0000718	CCC26296.1	AAS04889.1
OG0000719	CCC26298.1	AAS04887.1
OG0000720	CCC26299.1	AAS04886.1
OG0000721	CCC26300.1	AAS04885.1
OG0000722	CCC26301.1	AAS04884.1
OG0000723	CCC26304.1	AAS04881.1
OG0000724	CCC26311.1	AAS04875.1
OG0000725	CCC26312.1	AAS04874.1
OG0000726	CCC26313.1	AAS04873.1
OG0000727	CCC26314.1	AAS04872.1
OG0000728	CCC26315.1	AAS04871.1
OG0000729	CCC26320.1	AAS04870.1
OG0000730	CCC26321.1	AAS02903.1, AAS04869.1
OG0000731	CCC26323.1	AAS04382.1, AAS04867.1
OG0000732	CCC26326.1	AAS04865.1
OG0000733	CCC26327.1	AAS04864.1
OG0000734	CCC26328.1	AAS04863.1
OG0000735	CCC26329.1	AAS04862.1
OG0000736	CCC26330.1	AAS04859.1
OG0000737	CCC26331.1	AAS04858.1
OG0000738	CCC26335.1	AAS04856.1
OG0000739	CCC26339.1	AAS04853.1
OG0000740	CCC26340.1	AAS04852.1
OG0000741	CCC26342.1	AAS04850.1
OG0000742	CCC26343.1	AAS04839.1
OG0000743	CCC26345.1	AAS04837.1
OG0000744	CCC26348.1	AAS04834.1
OG0000745	CCC26350.1	AAS04832.1
OG0000746	CCC26354.1	AAS02898.1, AAS04826.1
OG0000747	CCC26365.1	AAS04817.1
OG0000748	CCC26366.1	AAS04816.1
OG0000749	CCC26367.1	AAS04815.1
OG0000750	CCC26368.1	AAS04814.1
OG0000751	CCC26369.1	AAS04813.1
OG0000752	CCC26370.1	AAS04811.1
OG0000753	CCC26371.1	AAS04810.1
OG0000754	CCC26372.1	AAS06234.1, AAS03273.1
OG0000755	CCC26373.1	AAS04808.1
OG0000756	CCC26374.1	AAS04807.1
OG0000757	CCC26375.1	AAS04806.1
OG0000758	CCC26376.1	AAS04805.1
OG0000759	CCC26379.1	AAS04801.1, AAS04916.1
OG0000760	CCC26386.1	AAS04787.1
OG0000761	CCC26388.1	AAS04785.1
OG0000762	CCC26389.1	AAS04784.1
OG0000763	CCC26390.1	AAS04783.1
OG0000764	CCC26393.1	AAS04779.1
OG0000765	CCC26395.1	AAS04777.1
OG0000766	CCC26396.1	AAS04776.1
OG0000767	CCC26397.1	AAS04775.1
OG0000768	CCC26398.1	AAS04774.1
OG0000769	CCC26399.1	AAS04773.1
OG0000770	CCC26400.1	AAS04772.1
OG0000771	CCC26401.1	AAS04771.1
OG0000772	CCC26402.1	AAS04770.1
OG0000773	CCC26403.1	AAS04769.1
OG0000774	CCC26404.1	AAS04768.1
OG0000775	CCC26405.1	AAS04767.1
OG0000776	CCC26406.1	AAS04766.1
OG0000777	CCC26408.1	AAS04765.1
OG0000778	CCC26409.1	AAS04764.1
OG0000779	CCC26410.1	AAS04762.1
OG0000780	CCC26416.1	AAS04756.1
OG0000781	CCC26418.1	AAS04754.1
OG0000782	CCC26419.1	AAS04753.1
OG0000783	CCC26420.1	AAS04752.1
OG0000784	CCC26427.1	AAS04746.1
OG0000785	CCC26428.1	AAS04745.1
OG0000786	CCC26429.1	AAS04744.1
OG0000787	CCC26433.1	AAS04742.1
OG0000788	CCC26434.1	AAS04741.1
OG0000789	CCC26435.1	AAS04740.1
OG0000790	CCC26436.1	AAS04739.1
OG0000791	CCC26437.1	AAS04737.1
OG0000792	CCC26438.1	AAS04736.1
OG0000793	CCC26439.1	AAS04735.1
OG0000794	CCC26440.1	AAS02342.1, AAS03872.1
OG0000795	CCC26441.1	AAS02343.1, AAS03871.1
OG0000796	CCC26443.1	AAS03869.1, AAS05697.1
OG0000797	CCC26451.1	AAS03665.1
OG0000798	CCC26456.1	AAS06474.1
OG0000799	CCC26474.1	AAS03432.1
OG0000800	CCC26475.1	AAS03433.1
OG0000801	CCC26477.1	AAS03435.1
OG0000802	CCC26478.1	AAS03436.1
OG0000803	CCC26479.1	AAS03437.1
OG0000804	CCC26482.1	AAS03439.1
OG0000805	CCC26483.1	AAS03440.1
OG0000806	CCC26484.1	AAS03441.1
OG0000807	CCC26485.1	AAS03442.1
OG0000808	CCC26486.1	AAS03443.1
OG0000809	CCC26496.1	AAS03447.1
OG0000810	CCC26498.1	AAS03448.1
OG0000811	CCC26499.1	AAS03449.1
OG0000812	CCC26500.1	AAS03450.1
OG0000813	CCC26502.1	AAS03452.1
OG0000814	CCC26503.1	AAS03453.1
OG0000815	CCC26504.1	AAS03454.1
OG0000816	CCC26505.1	AAS03455.1
OG0000817	CCC26506.1	AAS03456.1
OG0000818	CCC26509.1	AAS03457.1
OG0000819	CCC26510.1	AAS03458.1
OG0000820	CCC26511.1	AAS03459.1
OG0000821	CCC26514.1	AAS03463.1
OG0000822	CCC26515.1	AAS03464.1
OG0000823	CCC26516.1	AAS03465.1
OG0000824	CCC26517.1	AAS03466.1
OG0000825	CCC26521.1	AAS06047.1, AAS03476.1
OG0000826	CCC26522.1	AAS03477.1, AAS05266.1
OG0000827	CCC26527.1	AAS06362.1
OG0000828	CCC26530.1	AAS03481.1
OG0000829	CCC26531.1	AAS03482.1
OG0000830	CCC26532.1	AAS03483.1
OG0000831	CCC26534.1	AAS03484.1
OG0000832	CCC26536.1	AAS02685.1, AAS06651.1
OG0000833	CCC26539.1	AAS03491.1
OG0000834	CCC26540.1	AAS03492.1
OG0000835	CCC26542.1	AAS03494.1
OG0000836	CCC26543.1	AAS03495.1
OG0000837	CCC26545.1	AAS03496.1
OG0000838	CCC26550.1	AAS03499.1
OG0000839	CCC26551.1	AAS03500.1
OG0000840	CCC26552.1	AAS03501.1
OG0000841	CCC26553.1	AAS03502.1
OG0000842	CCC26554.1	AAS03503.1
OG0000843	CCC26555.1	AAS03504.1
OG0000844	CCC26556.1	AAS03505.1
OG0000845	CCC26557.1	AAS03506.1
OG0000846	CCC26558.1	AAS03507.1
OG0000847	CCC26559.1	AAS03508.1
OG0000848	CCC26560.1	AAS03509.1
OG0000849	CCC26565.1	AAS03513.1
OG0000850	CCC26567.1	AAS03515.1
OG0000851	CCC26569.1	AAS03517.1, AAS03948.1
OG0000852	CCC26570.1	AAS03518.1
OG0000853	CCC26571.1	AAS03519.1
OG0000854	CCC26572.1	AAS03520.1
OG0000855	CCC26573.1	AAS03521.1
OG0000856	CCC26574.1	AAS03522.1
OG0000857	CCC26575.1	AAS03523.1
OG0000858	CCC26578.1	AAS03526.1
OG0000859	CCC26579.1	AAS03527.1
OG0000860	CCC26580.1	AAS03528.1
OG0000861	CCC26581.1	AAS03529.1
OG0000862	CCC26582.1	AAS03530.1
OG0000863	CCC26588.1	AAS03542.1
OG0000864	CCC26616.1	AAS06311.1, AAS03735.1
OG0000865	CCC26634.1	AAS06802.1, AAS03562.1
OG0000866	CCC26635.1	AAS03563.1
OG0000867	CCC26636.1	AAS02495.1, AAS03565.1
OG0000868	CCC26637.1	AAS03566.1
OG0000869	CCC26638.1	AAS03567.1
OG0000870	CCC26639.1	AAS03568.1
OG0000871	CCC26643.1	AAS06406.1, AAS03572.1
OG0000872	CCC26645.1	AAS03812.1, AAS03573.1
OG0000873	CCC26646.1	AAS03574.1
OG0000874	CCC26648.1	AAS03577.1, AAS04026.1
OG0000875	CCC26654.1	AAS06709.1, AAS05600.1
OG0000876	CCC26658.1	AAS03581.1
OG0000877	CCC26663.1	AAS05810.1, AAS03587.1
OG0000878	CCC26665.1	AAS03589.1
OG0000879	CCC26667.1	AAS03591.1
OG0000880	CCC26668.1	AAS03592.1
OG0000881	CCC26669.1	AAS03593.1
OG0000882	CCC26673.1	AAS03600.1
OG0000883	CCC26674.1	AAS03601.1
