Orthogroup	Mavium	Mbovis
OG0000001	AAS05732.1, AAS05733.1	ALV12068.1, ALV12069.1
OG0000001	AAS03835.1, AAS03469.1	ALV10901.1
OG0000001	AAS03838.1	ALV10119.1, ALV09634.1
OG0000001	AAS04892.1	ALV11742.1, ALV10232.1
OG0000001	AAS06489.1	ALV12953.1, ALV11000.1, ALV12290.1, ALV10320.1, ALV10086.1, ALV10851.1, ALV12091.1, ALV12090.1, ALV12442.1, ALV11379.1, ALV12464.1, ALV09605.1, ALV09977.1, ALV12810.1
OG0000001	AAS03472.1, AAS05244.1, AAS05970.1, AAS05969.1	ALV12292.1
OG0000002	AAS04920.1	ALV10365.1
OG0000002	AAS04113.1	ALV11114.1
OG0000002	AAS03687.1	ALV10771.1
OG0000002	AAS03688.1	ALV10773.1
OG0000002	AAS06314.1	ALV12689.1
OG0000003	AAS04912.1	ALV09513.1
OG0000003	AAS06315.1, AAS06040.1	ALV09539.1, ALV09697.1
OG0000003	AAS06332.1	ALV13124.1, ALV11973.1, ALV09545.1
OG0000004	AAS04056.1, AAS06127.1, AAS03019.1, AAS06143.1, AAS02583.1, AAS04847.1, AAS05268.1, AAS05878.1, AAS03015.1, AAS04976.1, AAS05563.1, AAS04967.1, AAS05809.1, AAS04665.1, AAS05801.1, AAS04710.1, AAS03694.1, AAS05770.1, AAS04104.1, AAS06057.1, AAS03026.1, AAS03772.1, AAS02895.1, AAS03753.1, AAS05062.1, AAS02667.1, AAS06053.1, AAS03698.1, AAS05880.1, AAS05685.1, AAS04843.1, AAS03071.1, AAS04024.1, AAS06429.1	ALV13001.1
OG0000005	AAS04913.1	ALV10367.1
OG0000005	AAS06302.1, AAS04180.1	ALV10668.1, ALV10661.1
OG0000005	AAS05834.1	ALV09649.1
OG0000005	AAS04179.1	ALV11908.1, ALV11892.1
OG0000006	AAS06694.1	ALV10896.1
OG0000006	AAS04893.1, AAS03824.1	ALV10881.1, ALV10883.1
OG0000006	AAS03831.1	ALV12395.1
OG0000007	AAS06514.1	ALV09713.1
OG0000007	AAS06667.1	ALV09870.1
OG0000007	AAS06513.1	ALV12813.1
OG0000007	AAS06645.1	ALV12328.1, ALV09868.1, ALV09869.1
OG0000008	AAS04661.1, AAS03091.1, AAS02985.1, AAS04183.1, AAS03044.1, AAS06618.1, AAS04500.1, AAS04966.1, AAS04682.1, AAS04699.1, AAS04842.1, AAS03069.1, AAS04347.1, AAS04296.1, AAS04901.1, AAS06368.1, AAS04688.1, AAS04578.1, AAS03931.1, AAS02839.1	ALV12452.1
OG0000009	AAS05597.1	ALV09745.1, ALV10694.1
OG0000009	AAS04055.1	ALV11373.1, ALV11372.1, ALV09901.1
OG0000012	AAS02919.1	ALV09992.1
OG0000012	AAS04965.1, AAS03072.1, AAS04900.1, AAS06063.1, AAS04503.1, AAS05691.1, AAS04964.1, AAS05099.1, AAS03975.1, AAS04401.1, AAS04504.1, AAS04655.1, AAS05690.1, AAS06212.1	ALV09479.1
OG0000013	AAS06442.1	ALV12896.1
OG0000013	AAS05112.1	ALV12592.1
OG0000013	AAS06487.1, AAS03130.1, AAS03564.1	ALV12462.1
OG0000013	AAS02845.1, AAS03474.1, AAS02865.1	ALV13201.1
OG0000014	AAS06300.1, AAS06496.1, AAS02392.1, AAS05598.1	ALV12954.1
OG0000014	AAS06439.1, AAS04555.1, AAS04054.1	ALV12843.1
OG0000014	AAS03558.1	ALV09695.1
OG0000016	AAS02879.1	ALV12413.1
OG0000016	AAS06632.1	ALV09815.1
OG0000017	AAS02999.1, AAS03033.1, AAS04679.1, AAS04065.1, AAS03065.1, AAS03030.1, AAS04668.1, AAS04972.1, AAS04544.1, AAS03775.1, AAS04902.1, AAS04702.1, AAS06135.1, AAS04669.1, AAS02824.1	ALV12466.1
OG0000018	AAS06739.1	ALV10831.1
OG0000018	AAS05935.1, AAS06614.1, AAS04393.1, AAS06431.1, AAS02539.1, AAS03199.1, AAS06741.1, AAS06740.1, AAS06747.1, AAS02980.1	ALV10045.1
OG0000020	AAS04473.1	ALV11787.1, ALV09980.1
OG0000021	AAS04962.1, AAS06200.1, AAS06208.1, AAS05065.1, AAS04712.1, AAS02471.1, AAS04707.1, AAS06475.1, AAS03200.1, AAS03000.1, AAS04715.1, AAS04716.1, AAS03998.1	ALV10322.1
OG0000024	AAS03926.1	ALV10975.1
OG0000024	AAS02533.1	ALV12672.1
OG0000024	AAS06081.1	ALV09398.1
OG0000026	AAS03816.1, AAS06737.1, AAS02445.1, AAS06134.1, AAS03747.1, AAS03915.1, AAS04798.1, AAS02543.1, AAS04371.1, AAS04280.1, AAS03201.1	ALV10141.1
OG0000028	AAS03825.1	ALV10884.1, ALV10231.1, ALV10375.1
OG0000029	AAS04855.1, AAS04698.1, AAS04515.1, AAS05091.1, AAS03756.1, AAS02366.1, AAS03700.1	ALV12026.1
OG0000029	AAS04854.1	ALV10417.1
OG0000030	AAS04472.1	ALV11788.1, ALV09981.1
OG0000031	AAS06151.1, AAS02997.1, AAS04717.1, AAS06209.1, AAS04672.1, AAS05064.1, AAS04659.1, AAS03097.1, AAS04505.1, AAS06054.1, AAS04388.1	ALV09428.1
OG0000032	AAS06634.1	ALV09817.1
OG0000033	AAS06635.1	ALV09818.1
OG0000033	AAS04507.1, AAS03077.1, AAS04169.1, AAS02426.1, AAS04432.1	ALV09432.1
OG0000034	AAS04821.1	ALV10434.1
OG0000035	AAS06271.1, AAS04011.1	ALV12686.1
OG0000035	AAS06313.1	ALV12688.1
OG0000036	AAS03823.1	ALV12983.1, ALV12984.1, ALV10809.1, ALV10882.1
OG0000037	AAS06834.1	ALV10166.1
OG0000038	AAS02439.1	ALV10547.1
OG0000038	AAS06331.1	ALV09544.1
OG0000040	AAS04103.1, AAS04554.1, AAS02649.1, AAS05198.1, AAS04840.1, AAS04513.1, AAS04330.1, AAS06169.1, AAS06126.1, AAS03187.1	ALV10130.1
OG0000041	AAS03444.1, AAS04335.1, AAS04517.1, AAS06144.1, AAS03758.1, AAS03937.1, AAS06059.1, AAS03780.1, AAS03767.1, AAS04693.1	ALV10553.1
OG0000042	AAS06726.1	ALV12825.1, ALV12802.1
OG0000042	AAS03370.1	ALV09639.1
OG0000044	AAS04550.1, AAS05628.1	ALV12687.1, ALV12952.1
OG0000044	AAS04549.1	ALV10366.1
OG0000045	AAS04757.1	ALV10482.1, ALV10484.1, ALV10483.1
OG0000046	AAS06045.1, AAS04337.1	ALV10857.1
OG0000046	AAS03793.1, AAS05978.1, AAS04621.1, AAS02650.1	ALV12602.1
OG0000047	AAS03840.1, AAS03837.1, AAS03471.1, AAS05102.1, AAS05706.1, AAS05103.1, AAS05968.1, AAS02904.1, AAS03834.1	ALV10902.1
OG0000048	AAS03081.1, AAS04510.1, AAS06638.1	ALV09820.1
OG0000048	AAS06158.1	ALV12790.1
OG0000049	AAS05813.1, AAS03745.1, AAS06424.1	ALV09638.1
OG0000049	AAS03878.1	ALV10945.1
OG0000050	AAS06312.1, AAS05713.1, AAS03991.1, AAS05188.1	ALV10663.1, ALV10665.1
OG0000051	AAS05197.1, AAS05769.1, AAS04201.1, AAS03936.1, AAS05882.1, AAS04812.1, AAS06010.1, AAS03749.1, AAS03782.1	ALV10806.1
OG0000053	AAS04315.1	ALV11287.1
OG0000053	AAS06035.1, AAS04316.1	ALV11288.1
OG0000054	AAS02854.1, AAS03695.1, AAS05877.1, AAS06856.1, AAS02375.1, AAS06099.1, AAS02605.1, AAS02604.1	ALV12438.1
OG0000055	AAS03003.1, AAS04377.1, AAS03337.1, AAS04724.1, AAS03041.1, AAS04963.1, AAS05887.1, AAS02827.1	ALV13204.1
OG0000056	AAS02820.1, AAS04680.1, AAS03776.1, AAS03064.1, AAS04545.1, AAS03032.1, AAS04670.1, AAS02998.1	ALV12469.1
OG0000057	AAS04187.1, AAS04188.1, AAS03559.1, AAS04186.1, AAS03737.1, AAS04489.1	ALV09374.1
OG0000058	AAS06815.1	ALV12352.1
OG0000058	AAS06486.1	ALV09685.1
OG0000060	AAS06722.1, AAS05938.1	ALV10134.1
OG0000060	AAS03189.1	ALV10132.1
OG0000061	AAS04356.1, AAS05043.1	ALV11075.1
OG0000061	AAS04924.1	ALV10362.1
OG0000064	AAS03686.1	ALV10770.1
OG0000064	AAS04959.1, AAS03689.1	ALV10774.1
OG0000065	AAS05037.1, AAS06596.1, AAS04069.1, AAS03488.1, AAS03272.1, AAS05808.1	ALV13039.1
OG0000066	AAS02826.1, AAS04975.1, AAS03042.1, AAS02469.1, AAS02391.1, AAS04686.1, AAS03286.1	ALV12463.1
OG0000067	AAS02345.1, AAS03467.1, AAS04591.1, AAS04467.1, AAS02421.1, AAS06309.1, AAS03166.1	ALV13213.1
OG0000069	AAS06153.1	ALV09430.1
OG0000069	AAS06633.1	ALV09816.1
OG0000070	AAS06636.1	ALV12834.1
OG0000070	AAS06156.1	ALV09433.1
OG0000071	AAS06637.1	ALV09819.1
OG0000071	AAS06157.1	ALV09434.1
OG0000072	AAS06639.1	ALV12835.1
OG0000072	AAS06159.1	ALV09435.1
OG0000073	AAS04681.1, AAS06145.1, AAS03762.1, AAS03755.1, AAS04052.1, AAS06205.1	ALV09473.1
OG0000074	AAS03512.1	ALV10623.1
OG0000074	AAS06244.1	ALV09502.1
OG0000075	AAS06257.1	ALV09518.1
OG0000075	AAS04419.1	ALV13043.1
OG0000077	AAS03340.1	ALV10264.1
OG0000077	AAS03773.1	ALV12400.1
OG0000078	AAS05763.1, AAS03666.1, AAS04028.1, AAS03087.1, AAS05645.1, AAS04876.1	ALV10397.1
OG0000079	AAS03266.1, AAS03663.1	ALV10517.1
OG0000080	AAS03475.1	ALV10580.1
OG0000080	AAS04618.1	ALV11497.1
OG0000081	AAS03788.1, AAS04791.1, AAS03382.1, AAS04499.1, AAS02443.1, AAS03580.1	ALV10695.1
OG0000082	AAS05092.1, AAS03763.1, AAS05055.1	ALV10823.1, ALV12980.1
OG0000083	AAS04071.1	ALV11073.1
OG0000083	AAS04058.1, AAS04059.1	ALV11094.1
OG0000084	AAS06876.1	ALV12746.1, ALV11144.1
OG0000085	AAS02847.1, AAS03013.1, AAS03750.1, AAS03008.1, AAS05948.1, AAS03800.1	ALV13202.1
OG0000086	AAS02587.1, AAS02572.1, AAS02584.1, AAS06860.1, AAS05745.1, AAS05672.1	ALV12630.1
OG0000088	AAS05841.1	ALV12121.1, ALV09340.1
OG0000089	AAS06597.1, AAS04036.1, AAS04043.1, AAS04100.1	ALV09344.1
OG0000090	AAS06483.1	ALV09345.1, ALV09684.1
OG0000091	AAS05016.1	ALV10283.1, ALV09347.1
OG0000093	AAS02615.1	ALV10317.1
OG0000093	AAS06509.1	ALV09709.1
OG0000094	AAS06561.1	ALV09754.1
OG0000094	AAS02925.1	ALV09998.1
OG0000095	AAS06576.1	ALV09762.1
OG0000096	AAS06608.1	ALV09794.1, ALV10185.1
OG0000097	AAS02745.1, AAS03167.1, AAS02906.1, AAS02570.1, AAS02981.1, AAS04619.1	ALV09978.1
OG0000099	AAS02962.1	ALV12853.1, ALV12056.1
OG0000100	AAS05902.1, AAS06867.1, AAS05823.1, AAS03006.1	ALV10059.1
OG0000101	AAS03094.1, AAS04714.1, AAS03910.1, AAS03334.1	ALV10261.1
OG0000102	AAS02547.1	ALV12280.1
OG0000102	AAS04820.1	ALV10435.1
OG0000103	AAS06310.1	ALV11910.1, ALV10662.1
OG0000104	AAS03774.1, AAS03648.1, AAS06016.1, AAS04417.1, AAS06015.1	ALV12976.1
OG0000105	AAS06459.1, AAS03112.1, AAS02492.1, AAS04666.1, AAS03880.1	ALV10946.1
OG0000106	AAS05643.1	ALV11994.1, ALV11047.1
OG0000107	AAS05818.1, AAS04057.1	ALV11095.1, ALV12065.1
OG0000108	AAS04116.1	ALV13008.1
OG0000109	AAS06875.1	ALV13245.1, ALV11145.1
OG0000110	AAS04589.1	ALV11911.1, ALV11468.1
OG0000111	AAS06289.1, AAS03949.1	ALV11368.1, ALV13061.1
OG0000113	AAS05122.1	ALV11668.1, ALV11669.1
OG0000114	AAS05586.1, AAS05803.1, AAS06062.1, AAS06225.1	ALV11957.1
OG0000115	AAS06646.1, AAS03063.1, AAS04974.1, AAS06025.1	ALV12312.1
OG0000116	AAS02880.1, AAS03075.1, AAS02410.1, AAS04167.1, AAS02424.1	ALV12412.1
OG0000117	AAS03046.1, AAS04662.1, AAS02984.1, AAS03070.1, AAS02877.1	ALV12415.1
OG0000118	AAS02814.1, AAS03765.1, AAS03973.1, AAS03402.1, AAS04339.1	ALV12475.1
OG0000119	AAS02523.1	ALV12681.1
OG0000119	AAS02524.1	ALV12680.1
OG0000121	AAS02324.1	ALV09286.1
OG0000122	AAS06841.1, AAS03285.1	ALV09354.1
OG0000123	AAS06327.1	ALV09540.1, ALV10099.1
OG0000124	AAS06333.1	ALV09546.1, ALV11972.1
OG0000125	AAS06334.1	ALV09547.1, ALV11971.1
OG0000126	AAS05036.1, AAS04696.1, AAS06420.1	ALV09606.1
OG0000127	AAS05668.1, AAS02688.1, AAS06434.1	ALV09653.1
OG0000128	AAS06822.1, AAS04448.1, AAS06471.1	ALV09677.1
OG0000129	AAS03422.1, AAS06055.1, AAS04569.1, AAS02945.1	ALV10018.1
OG0000130	AAS02961.1	ALV10036.1
OG0000131	AAS02589.1	ALV10136.1
OG0000132	AAS04519.1, AAS02975.1, AAS04521.1	ALV10043.1
OG0000133	AAS03104.1	ALV12863.1
OG0000134	AAS04956.1	ALV10327.1, ALV12906.1
OG0000135	AAS03084.1, AAS04424.1, AAS04426.1, AAS03067.1	ALV12934.1
OG0000136	AAS05699.1	ALV10539.1, ALV12016.1
OG0000137	AAS03524.1, AAS05985.1, AAS05984.1	ALV10638.1
OG0000138	AAS02991.1, AAS02990.1, AAS03543.1	ALV10649.1
OG0000139	AAS03545.1	ALV12994.1, ALV10651.1
OG0000141	AAS03470.1, AAS03836.1	ALV10894.1
OG0000142	AAS02661.1, AAS04350.1, AAS03920.1	ALV12988.1
OG0000143	AAS04667.1, AAS04973.1, AAS04703.1	ALV11013.1
OG0000144	AAS05549.1, AAS02346.1	ALV10862.1, ALV11083.1
OG0000145	AAS04060.1	ALV11099.1, ALV13142.1
OG0000146	AAS03183.1	ALV12621.1, ALV11344.1
OG0000147	AAS04125.1, AAS03427.1, AAS02461.1, AAS04527.1	ALV11419.1
OG0000148	AAS03391.1	ALV11571.1, ALV11570.1
OG0000149	AAS05120.1	ALV13181.1, ALV11667.1
OG0000150	AAS04640.1, AAS04379.1, AAS05838.1, AAS05160.1	ALV11707.1
OG0000151	AAS05220.1	ALV13096.1, ALV11798.1
OG0000152	AAS03553.1, AAS03554.1, AAS06082.1	ALV11898.1
OG0000154	AAS06699.1, AAS03224.1, AAS05555.1	ALV13119.1
OG0000155	AAS05738.1, AAS06068.1, AAS06353.1, AAS02580.1	ALV13144.1
OG0000156	AAS05875.1, AAS02989.1, AAS03759.1, AAS05673.1	ALV12148.1
OG0000157	AAS05893.1, AAS02413.1, AAS02414.1, AAS06096.1	ALV12154.1
OG0000158	AAS05973.1	ALV12237.1, ALV12254.1, ALV12220.1
OG0000159	AAS05975.1	ALV12239.1, ALV12222.1, ALV12256.1
OG0000160	AAS05976.1, AAS05035.1	ALV12240.1, ALV12257.1, ALV12223.1
OG0000161	AAS05979.1	ALV12259.1, ALV12242.1, ALV12225.1
OG0000162	AAS05980.1	ALV12260.1, ALV12243.1, ALV12226.1
OG0000163	AAS05983.1	ALV12246.1, ALV12263.1, ALV12229.1
OG0000164	AAS05988.1	ALV12231.1, ALV12265.1, ALV12248.1
OG0000165	AAS05990.1	ALV12250.1, ALV12233.1, ALV12267.1
OG0000166	AAS05991.1	ALV12234.1, ALV12268.1, ALV12251.1
OG0000167	AAS05992.1	ALV12252.1, ALV12235.1, ALV12269.1
OG0000168	AAS05836.1, AAS04269.1	ALV12850.1, ALV13172.1
OG0000169	AAS04483.1, AAS04087.1, AAS03263.1, AAS05996.1	ALV13173.1
OG0000170	AAS06009.1, AAS04007.1, AAS04392.1, AAS06647.1	ALV13176.1
OG0000171	AAS06012.1	ALV12301.1, ALV12291.1
OG0000173	AAS02843.1, AAS04906.1, AAS03778.1, AAS04656.1	ALV12449.1
OG0000174	AAS02815.1, AAS03769.1, AAS03017.1, AAS03010.1	ALV12474.1
OG0000175	AAS05012.1, AAS06816.1, AAS02743.1	ALV13214.1
OG0000176	AAS02448.1	ALV12612.1
OG0000177	AAS02901.1, AAS02643.1, AAS02578.1	ALV12632.1
OG0000178	AAS05939.1, AAS05941.1, AAS03538.1, AAS02576.1	ALV12634.1
OG0000179	AAS04136.1, AAS04135.1, AAS02551.1	ALV12659.1
OG0000181	AAS03938.1, AAS05811.1, AAS06141.1, AAS05876.1, AAS06742.1	ALV10982.1
OG0000182	AAS05039.1	ALV09300.1
OG0000183	AAS02377.1	ALV09322.1
OG0000186	AAS06226.1, AAS06072.1	ALV12779.1
OG0000187	AAS06089.1, AAS02582.1, AAS05670.1	ALV09400.1
OG0000188	AAS06148.1	ALV09426.1
OG0000189	AAS02348.1, AAS06111.1, AAS06167.1	ALV09442.1
OG0000190	AAS06296.1, AAS06182.1	ALV09451.1
OG0000191	AAS06185.1, AAS02472.1, AAS06211.1	ALV09455.1
OG0000192	AAS03802.1, AAS04671.1, AAS06199.1	ALV09470.1
OG0000193	AAS06201.1, AAS04726.1, AAS04722.1	ALV09471.1
OG0000194	AAS06268.1, AAS04579.1, AAS05743.1	ALV09530.1
OG0000196	AAS04067.1, AAS06050.1, AAS06347.1	ALV09567.1
OG0000197	AAS06390.1, AAS05667.1	ALV09601.1
OG0000198	AAS04012.1, AAS06392.1	ALV09603.1
OG0000199	AAS02418.1, AAS02417.1, AAS06472.1	ALV09678.1
OG0000200	AAS06532.1, AAS05822.1	ALV12819.1
OG0000201	AAS06538.1	ALV09734.1
OG0000202	AAS05284.1, AAS06543.1	ALV09740.1
OG0000203	AAS06554.1	ALV09748.1
OG0000204	AAS06589.1, AAS04081.1	ALV09776.1
OG0000205	AAS03982.1, AAS06605.1	ALV09790.1
OG0000206	AAS03418.1	ALV09827.1, ALV11953.1
OG0000208	AAS03641.1, AAS02782.1, AAS06678.1	ALV09878.1
OG0000209	AAS06693.1, AAS02681.1	ALV09908.1
OG0000210	AAS06738.1	ALV09950.1
OG0000211	AAS02446.1, AAS02669.1, AAS06744.1	ALV12845.1
OG0000212	AAS02349.1, AAS02467.1, AAS06764.1	ALV09974.1
OG0000213	AAS05940.1, AAS03539.1, AAS02909.1	ALV09983.1
OG0000214	AAS02912.1, AAS06052.1, AAS04683.1	ALV09986.1
OG0000215	AAS05693.1, AAS02936.1, AAS02935.1	ALV10007.1
OG0000216	AAS02972.1, AAS02449.1	ALV10040.1
OG0000217	AAS03106.1, AAS04031.1	ALV10068.1
OG0000218	AAS03107.1, AAS04032.1	ALV10069.1
OG0000219	AAS06460.1, AAS03136.1	ALV10088.1
OG0000220	AAS03141.1, AAS03204.1	ALV10093.1
OG0000221	AAS02470.1, AAS03150.1	ALV10108.1
OG0000222	AAS02969.1, AAS03190.1	ALV12872.1
OG0000223	AAS02970.1, AAS03191.1	ALV10133.1
OG0000224	AAS03227.1, AAS03040.1, AAS05744.1	ALV10169.1
OG0000225	AAS06757.1, AAS02368.1, AAS02891.1	ALV10182.1
OG0000226	AAS03307.1, AAS05681.1	ALV10215.1
OG0000230	AAS03343.1, AAS05601.1	ALV10267.1
OG0000231	AAS03346.1, AAS05310.1	ALV10270.1
OG0000232	AAS04577.1, AAS04950.1	ALV10336.1
OG0000233	AAS04934.1	ALV10350.1, ALV12974.1
OG0000234	AAS05787.1, AAS04930.1	ALV10355.1
OG0000235	AAS04182.1, AAS03460.1, AAS04926.1	ALV10359.1
OG0000236	AAS05775.1, AAS02450.1, AAS04896.1	ALV10377.1
OG0000237	AAS03271.1, AAS03153.1, AAS04882.1	ALV10390.1
OG0000238	AAS03110.1	ALV09806.1
OG0000239	AAS04786.1, AAS03303.1	ALV10458.1
OG0000240	AAS06321.1, AAS04780.1	ALV10465.1
OG0000241	AAS02690.1	ALV12929.1
OG0000242	AAS04730.1, AAS06284.1, AAS06285.1	ALV10512.1
OG0000243	AAS03068.1, AAS04427.1, AAS03085.1	ALV10526.1
OG0000245	AAS05669.1, AAS03514.1	ALV10628.1
OG0000246	AAS05731.1, AAS03531.1	ALV10644.1
OG0000247	AAS03004.1, AAS03544.1	ALV12948.1
OG0000248	AAS02750.1	ALV13211.1
OG0000249	AAS03550.1	ALV11913.1
OG0000250	AAS03588.1, AAS06560.1	ALV10700.1
OG0000251	AAS03428.1, AAS03607.1	ALV10711.1
OG0000252	AAS03626.1, AAS06455.1	ALV10729.1
OG0000253	AAS03655.1, AAS06355.1	ALV12963.1
OG0000254	AAS03667.1, AAS06835.1, AAS03066.1	ALV10749.1
OG0000255	AAS05705.1, AAS03883.1, AAS03673.1	ALV10755.1
OG0000256	AAS04465.1, AAS03725.1	ALV12970.1
OG0000257	AAS03727.1, AAS03269.1	ALV10813.1
OG0000258	AAS03850.1, AAS05548.1	ALV10912.1
OG0000259	AAS03913.1	ALV10967.1
OG0000259	AAS04398.1	ALV10968.1
OG0000260	AAS03134.1, AAS03923.1	ALV10972.1
OG0000261	AAS03932.1, AAS03086.1	ALV12990.1
OG0000262	AAS03943.1, AAS03740.1, AAS06384.1	ALV12991.1
OG0000263	AAS03947.1, AAS04638.1	ALV10991.1
OG0000264	AAS03014.1, AAS02762.1, AAS03962.1	ALV12996.1
OG0000265	AAS06649.1, AAS04082.1	ALV13006.1
OG0000266	AAS03534.1, AAS03650.1, AAS04789.1	ALV11137.1
OG0000268	AAS04194.1, AAS04375.1	ALV13014.1
OG0000269	AAS04206.1	ALV11200.1
OG0000270	AAS06396.1, AAS05617.1, AAS04228.1	ALV11222.1
OG0000272	AAS04249.1, AAS03090.1	ALV11238.1
OG0000273	AAS04251.1	ALV11240.1
OG0000274	AAS03738.1, AAS04258.1	ALV11246.1
OG0000275	AAS04274.1, AAS05613.1	ALV11260.1
OG0000276	AAS04312.1, AAS06227.1	ALV11284.1
OG0000277	AAS06087.1, AAS02662.1, AAS04374.1	ALV13038.1
OG0000278	AAS02684.1, AAS04422.1, AAS04421.1	ALV11366.1
OG0000279	AAS06323.1, AAS04456.1	ALV11382.1
OG0000280	AAS04485.1, AAS04484.1	ALV11397.1
OG0000281	AAS04486.1, AAS03736.1, AAS04189.1	ALV11398.1
OG0000282	AAS02431.1, AAS04174.1, AAS02407.1	ALV11410.1
OG0000283	AAS05231.1, AAS04642.1, AAS02466.1	ALV11438.1
OG0000284	AAS04998.1, AAS04607.1	ALV11485.1
OG0000286	AAS03987.1, AAS04639.1	ALV11532.1
OG0000287	AAS03984.1, AAS04651.1	ALV11538.1
OG0000288	AAS03366.1, AAS03367.1	ALV13073.1
OG0000289	AAS03742.1, AAS05108.1	ALV11659.1
OG0000290	AAS04922.1, AAS05124.1	ALV11672.1
OG0000291	AAS02701.1, AAS05133.1	ALV11681.1
OG0000292	AAS03182.1, AAS05176.1	ALV11723.1
OG0000293	AAS04185.1, AAS05232.1	ALV11817.1
OG0000294	AAS05270.1, AAS05687.1, AAS06837.1	ALV11855.1
OG0000295	AAS04493.1, AAS06295.1	ALV11890.1
OG0000296	AAS03739.1, AAS05567.1	ALV11937.1
OG0000297	AAS05568.1	ALV11938.1
OG0000298	AAS04573.1, AAS05573.1	ALV11942.1
OG0000299	AAS05574.1, AAS04572.1	ALV11943.1
OG0000300	AAS05581.1, AAS06230.1	ALV11949.1
OG0000301	AAS05840.1, AAS02404.1, AAS05632.1	ALV11986.1
OG0000302	AAS05635.1	ALV13129.1
OG0000303	AAS03930.1, AAS05641.1	ALV11991.1
OG0000304	AAS06001.1, AAS05675.1	ALV12008.1
OG0000305	AAS06281.1, AAS05720.1	ALV12044.1
OG0000307	AAS05771.1, AAS06441.1, AAS06098.1	ALV12099.1
OG0000308	AAS04027.1, AAS02401.1, AAS05777.1	ALV12102.1
OG0000309	AAS03798.1, AAS05862.1	ALV12136.1
OG0000311	AAS04232.1, AAS02798.1, AAS05916.1	ALV12176.1
OG0000312	AAS05934.1	ALV12191.1
OG0000313	AAS06610.1, AAS02444.1	ALV12194.1
OG0000314	AAS05954.1, AAS05190.1	ALV12204.1
OG0000315	AAS03813.1, AAS02700.1, AAS05958.1	ALV12207.1
OG0000316	AAS05972.1	ALV13169.1, ALV13167.1, ALV13165.1
OG0000317	AAS05977.1	ALV12241.1, ALV12224.1, ALV12258.1
OG0000318	AAS05981.1	ALV12261.1, ALV12227.1, ALV12244.1
OG0000319	AAS05982.1	ALV12262.1, ALV12228.1, ALV12245.1
OG0000320	AAS05989.1	ALV12266.1, ALV12249.1, ALV12232.1
OG0000321	AAS06004.1	ALV12286.1
OG0000322	AAS06279.1, AAS02555.1, AAS05683.1	ALV12341.1
OG0000323	AAS03109.1, AAS06776.1, AAS06777.1	ALV12387.1
OG0000324	AAS03282.1, AAS06774.1	ALV12389.1
