Orthogroup	Mavium	Mbovis
OG0000325	AAS02896.1, AAS06115.1	ALV13197.1
OG0000326	AAS04697.1, AAS04705.1, AAS02867.1	ALV12425.1
OG0000327	AAS02813.1, AAS05686.1, AAS02996.1	ALV12476.1
OG0000328	AAS02747.1, AAS05796.1	ALV12525.1
OG0000329	AAS02986.1, AAS02740.1	ALV13215.1
OG0000330	AAS02715.1, AAS02399.1	ALV12558.1
OG0000331	AAS02635.1, AAS04338.1	ALV12595.1
OG0000332	AAS02573.1, AAS06628.1, AAS06629.1	ALV12636.1
OG0000333	AAS02538.1, AAS04689.1	ALV12667.1
OG0000334	AAS02537.1	ALV12668.1
OG0000335	AAS02496.1	ALV12717.1
OG0000342	AAS02318.1	ALV09281.1
OG0000343	AAS02319.1	ALV09282.1
OG0000344	AAS02320.1	ALV09283.1
OG0000345	AAS02321.1	ALV09284.1
OG0000346	AAS02322.1	ALV12767.1
OG0000347	AAS02323.1	ALV09285.1
OG0000348	AAS02328.1	ALV09289.1
OG0000349	AAS02330.1	ALV09290.1
OG0000350	AAS02332.1	ALV09292.1
OG0000351	AAS02333.1	ALV09293.1
OG0000352	AAS02335.1	ALV09294.1
OG0000353	AAS02336.1	ALV09295.1
OG0000354	AAS02337.1	ALV09296.1
OG0000355	AAS02338.1	ALV09297.1
OG0000356	AAS02339.1	ALV09298.1
OG0000357	AAS02340.1	ALV09299.1
OG0000358	AAS02353.1	ALV09303.1
OG0000359	AAS02362.1	ALV12770.1
OG0000360	AAS02364.1	ALV09316.1
OG0000361	AAS02365.1	ALV09317.1
OG0000362	AAS02367.1	ALV09318.1
OG0000363	AAS06306.1, AAS02371.1	ALV09320.1
OG0000364	AAS02378.1	ALV09323.1
OG0000365	AAS02380.1	ALV09325.1
OG0000366	AAS02381.1	ALV09326.1
OG0000367	AAS02382.1	ALV09327.1
OG0000368	AAS02384.1	ALV09329.1
OG0000369	AAS02385.1	ALV09330.1
OG0000370	AAS02386.1	ALV09331.1
OG0000371	AAS02387.1	ALV09332.1
OG0000372	AAS02388.1	ALV09333.1
OG0000373	AAS06006.1	ALV09343.1
OG0000374	AAS05688.1, AAS03035.1	ALV09351.1
OG0000375	AAS04614.1	ALV09375.1
OG0000376	AAS06297.1, AAS06320.1	ALV09379.1
OG0000377	AAS06048.1	ALV09380.1
OG0000378	AAS06064.1	ALV12777.1
OG0000379	AAS05799.1, AAS03254.1	ALV09386.1
OG0000380	AAS06070.1	ALV12778.1
OG0000381	AAS06074.1	ALV12781.1
OG0000382	AAS06077.1	ALV09394.1
OG0000383	AAS03661.1, AAS06103.1	ALV09404.1
OG0000384	AAS06104.1	ALV09405.1
OG0000385	AAS06105.1, AAS03967.1	ALV09406.1
OG0000386	AAS06136.1, AAS06107.1	ALV09408.1
OG0000387	AAS06114.1	ALV09412.1
OG0000388	AAS06116.1	ALV12784.1
OG0000389	AAS06117.1, AAS06060.1	ALV09413.1
OG0000390	AAS06122.1	ALV09419.1
OG0000391	AAS06123.1	ALV09420.1
OG0000392	AAS06124.1	ALV12787.1
OG0000393	AAS06128.1	ALV12788.1
OG0000394	AAS06160.1	ALV09436.1
OG0000395	AAS06161.1	ALV09437.1
OG0000396	AAS06162.1	ALV09438.1
OG0000397	AAS06163.1	ALV09439.1
OG0000398	AAS06166.1	ALV09441.1
OG0000399	AAS06172.1	ALV09443.1
OG0000400	AAS06173.1	ALV09444.1
OG0000401	AAS06174.1	ALV09445.1
OG0000402	AAS06181.1	ALV09450.1
OG0000403	AAS06187.1	ALV09460.1
OG0000404	AAS06188.1, AAS05791.1	ALV09461.1
OG0000405	AAS06189.1	ALV12794.1
OG0000406	AAS06191.1	ALV09463.1
OG0000407	AAS06192.1	ALV09464.1
OG0000408	AAS06193.1	ALV09465.1
OG0000409	AAS06196.1	ALV09468.1
OG0000410	AAS06202.1	ALV09472.1
OG0000411	AAS06213.1	ALV09480.1
OG0000412	AAS06214.1	ALV09481.1
OG0000413	AAS06215.1	ALV09482.1
OG0000414	AAS06216.1	ALV09483.1
OG0000415	AAS06217.1	ALV09484.1
OG0000416	AAS06223.1	ALV09491.1
OG0000417	AAS06236.1	ALV09493.1
OG0000418	AAS06238.1	ALV09495.1
OG0000419	AAS06239.1	ALV09496.1
OG0000420	AAS06241.1	ALV09499.1
OG0000421	AAS06242.1	ALV09500.1
OG0000422	AAS06243.1	ALV09501.1
OG0000423	AAS06246.1	ALV09503.1
OG0000424	AAS06250.1	ALV09508.1
OG0000425	AAS06258.1	ALV09520.1
OG0000426	AAS06259.1	ALV09521.1
OG0000427	AAS06264.1	ALV09527.1
OG0000428	AAS06266.1, AAS06853.1	ALV09528.1
OG0000429	AAS06267.1, AAS05740.1	ALV09529.1
OG0000430	AAS06328.1	ALV09541.1
OG0000431	AAS06329.1	ALV09542.1
OG0000432	AAS06330.1	ALV09543.1
OG0000433	AAS06335.1	ALV09548.1
OG0000434	AAS06336.1	ALV09549.1
OG0000435	AAS06337.1	ALV09550.1
OG0000436	AAS06338.1	ALV09551.1
OG0000437	AAS04340.1, AAS04049.1	ALV09559.1
OG0000438	AAS06345.1, AAS03582.1	ALV09565.1
OG0000439	AAS06346.1	ALV09566.1
OG0000440	AAS06349.1, AAS04512.1	ALV09568.1
OG0000441	AAS03978.1, AAS06354.1	ALV09571.1
OG0000442	AAS06370.1	ALV09576.1
OG0000443	AAS05802.1, AAS06375.1	ALV09577.1
OG0000444	AAS06378.1	ALV09587.1
OG0000445	AAS06380.1	ALV09589.1
OG0000446	AAS06381.1	ALV09590.1
OG0000447	AAS06391.1	ALV09602.1
OG0000448	AAS06393.1	ALV09604.1
OG0000449	AAS06419.1	ALV09607.1
OG0000450	AAS06417.1	ALV09608.1
OG0000451	AAS06414.1	ALV09610.1
OG0000452	AAS06413.1	ALV09611.1
OG0000453	AAS06412.1	ALV09614.1
OG0000454	AAS06409.1	ALV12805.1
OG0000455	AAS06407.1	ALV09630.1
OG0000456	AAS06405.1	ALV09631.1
OG0000457	AAS06403.1	ALV09632.1
OG0000458	AAS06422.1	ALV09636.1
OG0000459	AAS06423.1	ALV09637.1
OG0000460	AAS06430.1	ALV09647.1
OG0000461	AAS06433.1	ALV09652.1
OG0000462	AAS06443.1	ALV09656.1
OG0000463	AAS06444.1	ALV09657.1
OG0000464	AAS06447.1	ALV09660.1
OG0000465	AAS06448.1	ALV09661.1
OG0000466	AAS06449.1	ALV09662.1
OG0000467	AAS06450.1	ALV09663.1
OG0000468	AAS06457.1, AAS06456.1	ALV09664.1
OG0000469	AAS06462.1	ALV09668.1
OG0000470	AAS06463.1	ALV09669.1
OG0000471	AAS06465.1	ALV09672.1
OG0000472	AAS06468.1	ALV09674.1
OG0000473	AAS06469.1	ALV09675.1
OG0000474	AAS06470.1	ALV09676.1
OG0000475	AAS06478.1	ALV09681.1
OG0000476	AAS06479.1	ALV12809.1
OG0000477	AAS06480.1	ALV09682.1
OG0000478	AAS06498.1	ALV09699.1
OG0000479	AAS06506.1	ALV09706.1
OG0000480	AAS06507.1	ALV09707.1
OG0000481	AAS06508.1	ALV09708.1
OG0000482	AAS06510.1	ALV09710.1
OG0000483	AAS06512.1	ALV09712.1
OG0000484	AAS06515.1	ALV09716.1
OG0000485	AAS06518.1	ALV09718.1
OG0000486	AAS06519.1	ALV12815.1
OG0000487	AAS06520.1	ALV09719.1
OG0000488	AAS06521.1	ALV09720.1
OG0000489	AAS06522.1	ALV09721.1
OG0000490	AAS06523.1	ALV09722.1
OG0000491	AAS06524.1, AAS05712.1	ALV09723.1
OG0000492	AAS06525.1	ALV09724.1
OG0000493	AAS06526.1	ALV12816.1
OG0000494	AAS06529.1	ALV12817.1
OG0000495	AAS06530.1	ALV09727.1
OG0000496	AAS06531.1	ALV09728.1
OG0000497	AAS06533.1	ALV12820.1
OG0000498	AAS06536.1	ALV12821.1
OG0000499	AAS06537.1	ALV09733.1
OG0000500	AAS06539.1	ALV09735.1
OG0000501	AAS06541.1	ALV09737.1
OG0000502	AAS06542.1	ALV09738.1
OG0000503	AAS06544.1	ALV09741.1
OG0000504	AAS06545.1	ALV09742.1
OG0000505	AAS06546.1	ALV09743.1
OG0000506	AAS06547.1	ALV12822.1
OG0000507	AAS06552.1	ALV09747.1
OG0000508	AAS06553.1	ALV12823.1
OG0000509	AAS06555.1	ALV12824.1
OG0000510	AAS06570.1	ALV09758.1
OG0000511	AAS06571.1	ALV09759.1
OG0000512	AAS06572.1	ALV12827.1
OG0000513	AAS06573.1	ALV09760.1
OG0000514	AAS06574.1	ALV12828.1
OG0000515	AAS06575.1	ALV09761.1
OG0000516	AAS06577.1	ALV09764.1
OG0000517	AAS06579.1	ALV09767.1
OG0000518	AAS06588.1	ALV09775.1
OG0000519	AAS06590.1	ALV09777.1
OG0000520	AAS06591.1	ALV09778.1
OG0000521	AAS06592.1	ALV09779.1
OG0000522	AAS06046.1, AAS06593.1	ALV09780.1
OG0000523	AAS06594.1	ALV09781.1
OG0000524	AAS06600.1	ALV12829.1
OG0000525	AAS06601.1	ALV09786.1
OG0000526	AAS06602.1	ALV09787.1
OG0000527	AAS06603.1	ALV09788.1
OG0000528	AAS06606.1	ALV09791.1
OG0000529	AAS06607.1	ALV09793.1
OG0000530	AAS06609.1	ALV09795.1
OG0000531	AAS06654.1	ALV09857.1
OG0000532	AAS06655.1	ALV09858.1
OG0000533	AAS06656.1	ALV09859.1
OG0000534	AAS06657.1	ALV09860.1
OG0000535	AAS06658.1	ALV09861.1
OG0000536	AAS06659.1	ALV09862.1
OG0000537	AAS06660.1	ALV09863.1
OG0000538	AAS06661.1	ALV09864.1
OG0000539	AAS06662.1	ALV09865.1
OG0000540	AAS06663.1	ALV09866.1
OG0000541	AAS06666.1	ALV09867.1
OG0000542	AAS06668.1	ALV09871.1
OG0000543	AAS06669.1	ALV09872.1
OG0000544	AAS06675.1	ALV09875.1
OG0000545	AAS06676.1	ALV09876.1
OG0000546	AAS06679.1	ALV09879.1
OG0000547	AAS06680.1	ALV09892.1
OG0000548	AAS06681.1	ALV09893.1
OG0000549	AAS06682.1	ALV09895.1
OG0000550	AAS06690.1	ALV09906.1
OG0000551	AAS06691.1	ALV09907.1
OG0000552	AAS06692.1	ALV12844.1
OG0000553	AAS06710.1	ALV09926.1
OG0000554	AAS06711.1	ALV09927.1
OG0000555	AAS06712.1	ALV09928.1
OG0000556	AAS06713.1	ALV09929.1
OG0000557	AAS06714.1	ALV09930.1
OG0000558	AAS06715.1	ALV09931.1
OG0000559	AAS06716.1	ALV09932.1
OG0000560	AAS06717.1	ALV09933.1
OG0000561	AAS06718.1	ALV09934.1
OG0000562	AAS06719.1	ALV09935.1
OG0000563	AAS06720.1	ALV09936.1
OG0000564	AAS06723.1, AAS06725.1	ALV09939.1
OG0000565	AAS06727.1	ALV09940.1
OG0000566	AAS06728.1	ALV09941.1
OG0000567	AAS06729.1	ALV09942.1
OG0000568	AAS06730.1	ALV09943.1
OG0000569	AAS06731.1	ALV09944.1
OG0000570	AAS06732.1	ALV09945.1
OG0000571	AAS06733.1	ALV09946.1
OG0000572	AAS06734.1	ALV09947.1
OG0000573	AAS06735.1	ALV09948.1
OG0000574	AAS06736.1	ALV09949.1
OG0000575	AAS06746.1	ALV09955.1
OG0000576	AAS06748.1	ALV09957.1
OG0000577	AAS06749.1	ALV09958.1
OG0000578	AAS06750.1	ALV09959.1
OG0000579	AAS03061.1, AAS06763.1	ALV09973.1
OG0000580	AAS02910.1	ALV09984.1
OG0000581	AAS02911.1, AAS02858.1	ALV09985.1
OG0000582	AAS03796.1, AAS02918.1	ALV09991.1
OG0000583	AAS02921.1, AAS03048.1	ALV09994.1
OG0000584	AAS02922.1, AAS05098.1	ALV09995.1
OG0000585	AAS02923.1	ALV09996.1
OG0000586	AAS02928.1	ALV10001.1
OG0000587	AAS02931.1	ALV10004.1
OG0000588	AAS02932.1	ALV10005.1
OG0000589	AAS02942.1	ALV10013.1
OG0000590	AAS02943.1	ALV10014.1
OG0000591	AAS02949.1	ALV10023.1
OG0000592	AAS02952.1	ALV10026.1
OG0000593	AAS06770.1	ALV10028.1
OG0000594	AAS02954.1	ALV10030.1
OG0000595	AAS02955.1	ALV12852.1
OG0000596	AAS02956.1	ALV10031.1
OG0000597	AAS02957.1	ALV10032.1
OG0000598	AAS02958.1	ALV10033.1
OG0000599	AAS02960.1	ALV10035.1
OG0000600	AAS02964.1	ALV10037.1
OG0000601	AAS02965.1	ALV10038.1
OG0000602	AAS02967.1	ALV10039.1
OG0000603	AAS02974.1	ALV10042.1
OG0000604	AAS02976.1, AAS05704.1	ALV12855.1
OG0000605	AAS02988.1, AAS05622.1	ALV10054.1
OG0000606	AAS03018.1, AAS03744.1	ALV10060.1
OG0000607	AAS03100.1	ALV10064.1
OG0000608	AAS03956.1, AAS03101.1	ALV10065.1
OG0000609	AAS03116.1	ALV10070.1
OG0000610	AAS03117.1	ALV10071.1
OG0000611	AAS03118.1	ALV12864.1
OG0000612	AAS03122.1	ALV10075.1
OG0000613	AAS03127.1	ALV10079.1
OG0000614	AAS03131.1	ALV10083.1
OG0000615	AAS03132.1	ALV10084.1
OG0000616	AAS03133.1	ALV10085.1
OG0000617	AAS03135.1	ALV10087.1
OG0000618	AAS03139.1	ALV10091.1
OG0000619	AAS03140.1	ALV10092.1
OG0000620	AAS03142.1	ALV10094.1
OG0000621	AAS03146.1	ALV10102.1
OG0000622	AAS03151.1	ALV12868.1
OG0000623	AAS03157.1	ALV10110.1
OG0000624	AAS03162.1	ALV10114.1
OG0000625	AAS03163.1	ALV12870.1
OG0000626	AAS03186.1	ALV12871.1
OG0000627	AAS03197.1, AAS03646.1	ALV10139.1
OG0000628	AAS03202.1, AAS05782.1	ALV12875.1
OG0000629	AAS03645.1, AAS03206.1	ALV12876.1
OG0000630	AAS03208.1	ALV10144.1
OG0000631	AAS03209.1	ALV10146.1
OG0000632	AAS03210.1	ALV10147.1
OG0000633	AAS03212.1	ALV10148.1
OG0000634	AAS03213.1	ALV10149.1
OG0000635	AAS03214.1	ALV10150.1
OG0000636	AAS03217.1	ALV10151.1
OG0000637	AAS03218.1	ALV10152.1
OG0000638	AAS03219.1	ALV10153.1
OG0000639	AAS03220.1	ALV10154.1
OG0000640	AAS03225.1	ALV10163.1
OG0000641	AAS02397.1	ALV10167.1
OG0000642	AAS03232.1	ALV10176.1
OG0000643	AAS03233.1	ALV12882.1
OG0000644	AAS03234.1	ALV10178.1
OG0000645	AAS03235.1	ALV10179.1
OG0000646	AAS03236.1	ALV10180.1
OG0000647	AAS03237.1	ALV10181.1
OG0000648	AAS06756.1	ALV10183.1
OG0000649	AAS03239.1	ALV12883.1
OG0000650	AAS03240.1	ALV12884.1
OG0000651	AAS03241.1	ALV10187.1
OG0000652	AAS03242.1	ALV10188.1
OG0000653	AAS03243.1	ALV10189.1
OG0000654	AAS03244.1	ALV10190.1
OG0000655	AAS03255.1	ALV12885.1
OG0000656	AAS03260.1	ALV12887.1
OG0000657	AAS03261.1	ALV10196.1
OG0000658	AAS03265.1, AAS03268.1	ALV10199.1
OG0000659	AAS03289.1	ALV10200.1
OG0000660	AAS03290.1	ALV10201.1
OG0000661	AAS03291.1	ALV10202.1
OG0000662	AAS03292.1	ALV10203.1
OG0000663	AAS03293.1	ALV10204.1
OG0000664	AAS03294.1	ALV10206.1
OG0000665	AAS03295.1	ALV10207.1
OG0000666	AAS03296.1	ALV10208.1
OG0000667	AAS03298.1	ALV10209.1
OG0000668	AAS03300.1	ALV10210.1
OG0000669	AAS03301.1	ALV12888.1
OG0000670	AAS03304.1	ALV10212.1
OG0000671	AAS03308.1	ALV10216.1
OG0000672	AAS03309.1	ALV10217.1
OG0000673	AAS03310.1	ALV10218.1
OG0000674	AAS03335.1	ALV10262.1
OG0000675	AAS03336.1	ALV10263.1
OG0000676	AAS03342.1	ALV10266.1
OG0000677	AAS03344.1	ALV10268.1
OG0000678	AAS03345.1	ALV10269.1
OG0000679	AAS05024.1	ALV10271.1
OG0000680	AAS05020.1	ALV10273.1
OG0000682	AAS05017.1	ALV10282.1
OG0000683	AAS05015.1	ALV10284.1
OG0000684	AAS05014.1	ALV10285.1
OG0000685	AAS05013.1	ALV10286.1
OG0000686	AAS05010.1	ALV10288.1
OG0000687	AAS05009.1	ALV10289.1
OG0000688	AAS05008.1	ALV12900.1
OG0000689	AAS05005.1	ALV10295.1
OG0000690	AAS05004.1	ALV10296.1
OG0000691	AAS05003.1	ALV10297.1
OG0000692	AAS05002.1	ALV10298.1
OG0000693	AAS05001.1	ALV10299.1
OG0000694	AAS05000.1	ALV10300.1
OG0000695	AAS04999.1	ALV10301.1
OG0000696	AAS04004.1, AAS04988.1	ALV10310.1
OG0000697	AAS04981.1	ALV10315.1
OG0000698	AAS04644.1, AAS04979.1	ALV10318.1
OG0000699	AAS04978.1	ALV12905.1
OG0000700	AAS04954.1, AAS05664.1	ALV10328.1
OG0000701	AAS04641.1, AAS04952.1	ALV10329.1
OG0000702	AAS06755.1, AAS04951.1	ALV10330.1
OG0000703	AAS04947.1	ALV10339.1
OG0000704	AAS04943.1	ALV10342.1
OG0000705	AAS04942.1	ALV10343.1
OG0000706	AAS04941.1	ALV10344.1
OG0000707	AAS04940.1	ALV10345.1
OG0000708	AAS02686.1, AAS04936.1	ALV10348.1
OG0000709	AAS04933.1	ALV10351.1
OG0000710	AAS04932.1	ALV12909.1
OG0000711	AAS04929.1	ALV10356.1
OG0000712	AAS04928.1	ALV10358.1
OG0000713	AAS04923.1	ALV10363.1
OG0000714	AAS04551.1	ALV12912.1
OG0000715	AAS04897.1	ALV10372.1
OG0000716	AAS04895.1	ALV10378.1
OG0000717	AAS04891.1	ALV10379.1
OG0000718	AAS04889.1	ALV10382.1
OG0000719	AAS04887.1	ALV10385.1
OG0000720	AAS04886.1	ALV10386.1
OG0000721	AAS04885.1	ALV10387.1
OG0000722	AAS04884.1	ALV10388.1
OG0000723	AAS04881.1	ALV10391.1
OG0000724	AAS04875.1	ALV12918.1
OG0000725	AAS04874.1	ALV10398.1
OG0000726	AAS04873.1	ALV12919.1
OG0000727	AAS04872.1	ALV12920.1
OG0000728	AAS04871.1	ALV10399.1
OG0000729	AAS04870.1	ALV10403.1
OG0000730	AAS02903.1, AAS04869.1	ALV10404.1
OG0000731	AAS04382.1, AAS04867.1	ALV10406.1
OG0000732	AAS04865.1	ALV10409.1
OG0000733	AAS04864.1	ALV12922.1
OG0000734	AAS04863.1	ALV12923.1
OG0000735	AAS04862.1	ALV10410.1
OG0000736	AAS04859.1	ALV10411.1
OG0000737	AAS04858.1	ALV10412.1
OG0000738	AAS04856.1	ALV10416.1
OG0000739	AAS04853.1	ALV10420.1
OG0000740	AAS04852.1	ALV10421.1
OG0000741	AAS04850.1	ALV10423.1
OG0000742	AAS04839.1	ALV10424.1
OG0000743	AAS04837.1	ALV10426.1
OG0000745	AAS04832.1	ALV10429.1
OG0000746	AAS02898.1, AAS04826.1	ALV10431.1
OG0000747	AAS04817.1	ALV10439.1
OG0000748	AAS04816.1	ALV10440.1
OG0000749	AAS04815.1	ALV12926.1
OG0000750	AAS04814.1	ALV10441.1
OG0000751	AAS04813.1	ALV10442.1
OG0000752	AAS04811.1	ALV10443.1
OG0000753	AAS04810.1	ALV10444.1
OG0000754	AAS06234.1, AAS03273.1	ALV12927.1
OG0000755	AAS04808.1	ALV10445.1
OG0000756	AAS04807.1	ALV10446.1
OG0000757	AAS04806.1	ALV10447.1
OG0000758	AAS04805.1	ALV10448.1
OG0000759	AAS04801.1, AAS04916.1	ALV10450.1
OG0000760	AAS04787.1	ALV10457.1
OG0000761	AAS04785.1	ALV10459.1
OG0000762	AAS04784.1	ALV10460.1
OG0000763	AAS04783.1	ALV10462.1
OG0000764	AAS04779.1	ALV10466.1
OG0000765	AAS04777.1	ALV10467.1
OG0000766	AAS04776.1	ALV12930.1
OG0000767	AAS04775.1	ALV10468.1
OG0000768	AAS04774.1	ALV10469.1
OG0000769	AAS04773.1	ALV10470.1
OG0000770	AAS04772.1	ALV10471.1
OG0000771	AAS04771.1	ALV10472.1
OG0000772	AAS04770.1	ALV10473.1
OG0000773	AAS04769.1	ALV10474.1
OG0000774	AAS04768.1	ALV10475.1
OG0000775	AAS04767.1	ALV10476.1
OG0000776	AAS04766.1	ALV10477.1
OG0000777	AAS04765.1	ALV10478.1
OG0000778	AAS04764.1	ALV10479.1
OG0000779	AAS04762.1	ALV10480.1
OG0000780	AAS04756.1	ALV10485.1
OG0000781	AAS04754.1	ALV10487.1
OG0000782	AAS04753.1	ALV10488.1
OG0000783	AAS04752.1	ALV10489.1
OG0000784	AAS04746.1	ALV10495.1
OG0000785	AAS04745.1	ALV10496.1
OG0000786	AAS04744.1	ALV10497.1
OG0000787	AAS04742.1	ALV10501.1
OG0000788	AAS04741.1	ALV10502.1
OG0000789	AAS04740.1	ALV10503.1
OG0000790	AAS04739.1	ALV10504.1
OG0000791	AAS04737.1	ALV12933.1
OG0000792	AAS04736.1	ALV10505.1
OG0000793	AAS04735.1	ALV10506.1
OG0000794	AAS02342.1, AAS03872.1	ALV10507.1
OG0000795	AAS02343.1, AAS03871.1	ALV10508.1
OG0000796	AAS03869.1, AAS05697.1	ALV10510.1
OG0000797	AAS03665.1	ALV10518.1
OG0000798	AAS06474.1	ALV10524.1
OG0000799	AAS03432.1	ALV10541.1
OG0000800	AAS03433.1	ALV10542.1
OG0000801	AAS03435.1	ALV10544.1
OG0000802	AAS03436.1	ALV10545.1
OG0000803	AAS03437.1	ALV10546.1
OG0000804	AAS03439.1	ALV10550.1
OG0000805	AAS03440.1	ALV10551.1
OG0000806	AAS03441.1	ALV10552.1
OG0000807	AAS03442.1	ALV12935.1
OG0000808	AAS03443.1	ALV12936.1
OG0000809	AAS03447.1	ALV12939.1
OG0000810	AAS03448.1	ALV12940.1
OG0000811	AAS03449.1	ALV10561.1
OG0000812	AAS03450.1	ALV10562.1
OG0000813	AAS03452.1	ALV10564.1
OG0000814	AAS03453.1	ALV10565.1
OG0000815	AAS03454.1	ALV12941.1
OG0000816	AAS03455.1	ALV12942.1
OG0000817	AAS03456.1	ALV10566.1
OG0000818	AAS03457.1	ALV10569.1
OG0000819	AAS03458.1	ALV10570.1
OG0000820	AAS03459.1	ALV10571.1
OG0000821	AAS03463.1	ALV10574.1
OG0000822	AAS03464.1	ALV10575.1
OG0000823	AAS03465.1	ALV10576.1
OG0000824	AAS03466.1	ALV10577.1
OG0000825	AAS06047.1, AAS03476.1	ALV10581.1
OG0000826	AAS03477.1, AAS05266.1	ALV10582.1
OG0000827	AAS06362.1	ALV10587.1
OG0000828	AAS03481.1	ALV10590.1
OG0000829	AAS03482.1	ALV10591.1
OG0000830	AAS03483.1	ALV10592.1
OG0000831	AAS03484.1	ALV10595.1
OG0000832	AAS02685.1, AAS06651.1	ALV10597.1
OG0000833	AAS03491.1	ALV10601.1
OG0000834	AAS03492.1	ALV10602.1
OG0000835	AAS03494.1	ALV10604.1
OG0000836	AAS03495.1	ALV10605.1
OG0000837	AAS03496.1	ALV10608.1
OG0000838	AAS03499.1	ALV10612.1
OG0000839	AAS03500.1	ALV10613.1
OG0000840	AAS03501.1	ALV10614.1
OG0000841	AAS03502.1	ALV10615.1
OG0000842	AAS03503.1	ALV10616.1
OG0000843	AAS03504.1	ALV10617.1
OG0000844	AAS03505.1	ALV10618.1
OG0000845	AAS03506.1	ALV10619.1
OG0000846	AAS03507.1	ALV10620.1
OG0000847	AAS03508.1	ALV10621.1
OG0000848	AAS03509.1	ALV10622.1
OG0000849	AAS03513.1	ALV10627.1
OG0000850	AAS03515.1	ALV10629.1
OG0000851	AAS03517.1, AAS03948.1	ALV10631.1
OG0000852	AAS03518.1	ALV10632.1
OG0000853	AAS03519.1	ALV10633.1
OG0000854	AAS03520.1	ALV10634.1
OG0000855	AAS03521.1	ALV10635.1
OG0000856	AAS03522.1	ALV10636.1
OG0000857	AAS03523.1	ALV10637.1
OG0000858	AAS03526.1	ALV10640.1
OG0000859	AAS03527.1	ALV10641.1
OG0000860	AAS03528.1	ALV10642.1
OG0000861	AAS03529.1	ALV12945.1
OG0000862	AAS03530.1	ALV10643.1
OG0000863	AAS03542.1	ALV12946.1
OG0000864	AAS06311.1, AAS03735.1	ALV10658.1
OG0000865	AAS06802.1, AAS03562.1	ALV10674.1
OG0000866	AAS03563.1	ALV10675.1
OG0000867	AAS02495.1, AAS03565.1	ALV10676.1
OG0000868	AAS03566.1	ALV10677.1
OG0000869	AAS03567.1	ALV10678.1
OG0000870	AAS03568.1	ALV10679.1
OG0000871	AAS06406.1, AAS03572.1	ALV10683.1
OG0000872	AAS03812.1, AAS03573.1	ALV10685.1
OG0000873	AAS03574.1	ALV10686.1
OG0000874	AAS03577.1, AAS04026.1	ALV10687.1
OG0000875	AAS06709.1, AAS05600.1	ALV10693.1
OG0000876	AAS03581.1	ALV10696.1
OG0000877	AAS05810.1, AAS03587.1	ALV12955.1
OG0000878	AAS03589.1	ALV10701.1
OG0000879	AAS03591.1	ALV10702.1
OG0000880	AAS03592.1	ALV10703.1
OG0000881	AAS03593.1	ALV10704.1
OG0000882	AAS03600.1	ALV12958.1
OG0000883	AAS03601.1	ALV10706.1
OG0000884	AAS03602.1	ALV10707.1
OG0000885	AAS03603.1, AAS06839.1	ALV10708.1
