Orthogroup	Mmicro	Mavium
OG0000320	AMC61084.1	AAS05989.1
OG0000321	AMC61113.1, AMC61112.1	AAS06004.1
OG0000322	AMC61186.1	AAS06279.1, AAS02555.1, AAS05683.1
OG0000323	AMC61250.1	AAS03109.1, AAS06776.1, AAS06777.1
OG0000324	AMC61252.1	AAS03282.1, AAS06774.1
OG0000325	AMC61269.1	AAS02896.1, AAS06115.1
OG0000326	AMC61316.1	AAS04697.1, AAS04705.1, AAS02867.1
OG0000327	AMC61375.1	AAS02813.1, AAS05686.1, AAS02996.1
OG0000328	AMC61434.1	AAS02747.1, AAS05796.1
OG0000329	AMC61448.1	AAS02986.1, AAS02740.1
OG0000330	AMC61479.1	AAS02715.1, AAS02399.1
OG0000331	AMC61526.1	AAS02635.1, AAS04338.1
OG0000332	AMC61580.1	AAS02573.1, AAS06628.1, AAS06629.1
OG0000333	AMC61619.1	AAS02538.1, AAS04689.1
OG0000334	AMC61621.1, AMC61620.1	AAS02537.1
OG0000335	AMC61685.1	AAS02496.1
OG0000340	AMC60119.1	AAS03907.1, AAS03951.1, AAS04759.1, AAS03693.1
OG0000342	AMC57428.1	AAS02318.1
OG0000343	AMC57429.1	AAS02319.1
OG0000344	AMC57430.1	AAS02320.1
OG0000345	AMC57431.1	AAS02321.1
OG0000346	AMC57432.1	AAS02322.1
OG0000347	AMC57434.1	AAS02323.1
OG0000348	AMC57440.1	AAS02328.1
OG0000349	AMC57443.1	AAS02330.1
OG0000350	AMC57445.1	AAS02332.1
OG0000351	AMC57446.1	AAS02333.1
OG0000352	AMC57447.1	AAS02335.1
OG0000353	AMC57448.1	AAS02336.1
OG0000354	AMC57449.1	AAS02337.1
OG0000355	AMC57450.1	AAS02338.1
OG0000356	AMC57451.1	AAS02339.1
OG0000357	AMC57452.1	AAS02340.1
OG0000358	AMC57459.1, AMC57458.1	AAS02353.1
OG0000359	AMC57474.1	AAS02362.1
OG0000360	AMC57476.1	AAS02364.1
OG0000361	AMC57477.1	AAS02365.1
OG0000362	AMC57478.1	AAS02367.1
OG0000363	AMC57480.1	AAS06306.1, AAS02371.1
OG0000364	AMC57483.1	AAS02378.1
OG0000365	AMC57485.1	AAS02380.1
OG0000366	AMC57486.1	AAS02381.1
OG0000367	AMC57487.1	AAS02382.1
OG0000368	AMC57489.1	AAS02384.1
OG0000369	AMC57490.1	AAS02385.1
OG0000370	AMC57491.1	AAS02386.1
OG0000371	AMC57492.1	AAS02387.1
OG0000372	AMC57494.1	AAS02388.1
OG0000373	AMC57505.1	AAS06006.1
OG0000374	AMC57514.1	AAS05688.1, AAS03035.1
OG0000375	AMC57546.1	AAS04614.1
OG0000376	AMC57551.1	AAS06297.1, AAS06320.1
OG0000377	AMC57552.1	AAS06048.1
OG0000378	AMC57556.1	AAS06064.1
OG0000379	AMC57559.1	AAS05799.1, AAS03254.1
OG0000380	AMC57562.1	AAS06070.1
OG0000381	AMC57565.1	AAS06074.1
OG0000382	AMC57572.1	AAS06077.1
OG0000383	AMC57584.1	AAS03661.1, AAS06103.1
OG0000384	AMC57585.1	AAS06104.1
OG0000385	AMC57586.1	AAS06105.1, AAS03967.1
OG0000386	AMC57588.1	AAS06136.1, AAS06107.1
OG0000387	AMC57594.1	AAS06114.1
OG0000388	AMC57595.1	AAS06116.1
OG0000389	AMC57596.1	AAS06117.1, AAS06060.1
OG0000390	AMC57604.1	AAS06122.1
OG0000391	AMC57605.1	AAS06123.1
OG0000392	AMC57606.1	AAS06124.1
OG0000393	AMC57611.1	AAS06128.1
OG0000394	AMC57626.1	AAS06160.1
OG0000395	AMC57627.1	AAS06161.1
OG0000396	AMC57628.1	AAS06162.1
OG0000397	AMC57629.1	AAS06163.1
OG0000398	AMC57631.1	AAS06166.1
OG0000399	AMC57634.1	AAS06172.1
OG0000400	AMC57636.1	AAS06173.1
OG0000401	AMC57637.1	AAS06174.1
OG0000402	AMC57643.1	AAS06181.1
OG0000403	AMC57659.1	AAS06187.1
OG0000404	AMC57660.1	AAS06188.1, AAS05791.1
OG0000405	AMC57661.1	AAS06189.1
OG0000406	AMC57663.1	AAS06191.1
OG0000407	AMC57664.1	AAS06192.1
OG0000408	AMC57665.1	AAS06193.1
OG0000409	AMC57668.1	AAS06196.1
OG0000410	AMC57673.1	AAS06202.1
OG0000411	AMC57681.1	AAS06213.1
OG0000412	AMC57682.1	AAS06214.1
OG0000413	AMC57683.1	AAS06215.1
OG0000414	AMC57684.1	AAS06216.1
OG0000415	AMC57685.1	AAS06217.1
OG0000416	AMC57692.1	AAS06223.1
OG0000417	AMC57694.1	AAS06236.1
OG0000418	AMC57696.1	AAS06238.1
OG0000419	AMC57697.1	AAS06239.1
OG0000420	AMC57700.1	AAS06241.1
OG0000421	AMC57701.1	AAS06242.1
OG0000422	AMC57702.1	AAS06243.1
OG0000423	AMC57704.1	AAS06246.1
OG0000424	AMC57709.1	AAS06250.1
OG0000425	AMC57722.1	AAS06258.1
OG0000426	AMC57723.1	AAS06259.1
OG0000427	AMC57729.1	AAS06264.1
OG0000428	AMC57731.1	AAS06266.1, AAS06853.1
OG0000429	AMC57733.1	AAS06267.1, AAS05740.1
OG0000430	AMC57751.1	AAS06328.1
OG0000431	AMC57752.1	AAS06329.1
OG0000432	AMC57753.1	AAS06330.1
OG0000433	AMC57758.1	AAS06335.1
OG0000434	AMC57759.1	AAS06336.1
OG0000435	AMC57760.1	AAS06337.1
OG0000436	AMC57761.1	AAS06338.1
OG0000437	AMC57771.1	AAS04340.1, AAS04049.1
OG0000438	AMC57779.1	AAS06345.1, AAS03582.1
OG0000439	AMC57780.1	AAS06346.1
OG0000440	AMC57782.1	AAS06349.1, AAS04512.1
OG0000441	AMC57786.1	AAS03978.1, AAS06354.1
OG0000442	AMC57791.1	AAS06370.1
OG0000443	AMC57792.1	AAS05802.1, AAS06375.1
OG0000444	AMC57803.1	AAS06378.1
OG0000445	AMC57806.1	AAS06380.1
OG0000446	AMC57808.1	AAS06381.1
OG0000447	AMC57823.1	AAS06391.1
OG0000448	AMC57825.1	AAS06393.1
OG0000449	AMC57829.1	AAS06419.1
OG0000450	AMC57830.1	AAS06417.1
OG0000451	AMC57832.1	AAS06414.1
OG0000452	AMC57833.1	AAS06413.1
OG0000453	AMC57836.1	AAS06412.1
OG0000454	AMC57853.1	AAS06409.1
OG0000455	AMC57855.1	AAS06407.1
OG0000456	AMC57856.1	AAS06405.1
OG0000457	AMC57857.1	AAS06403.1
OG0000458	AMC57864.1	AAS06422.1
OG0000459	AMC57865.1	AAS06423.1
OG0000460	AMC57879.1	AAS06430.1
OG0000461	AMC57884.1	AAS06433.1
OG0000462	AMC57888.1	AAS06443.1
OG0000463	AMC57889.1	AAS06444.1
OG0000464	AMC57892.1	AAS06447.1
OG0000465	AMC57893.1	AAS06448.1
OG0000466	AMC57894.1	AAS06449.1
OG0000467	AMC57895.1	AAS06450.1
OG0000468	AMC57896.1	AAS06457.1, AAS06456.1
OG0000469	AMC57900.1	AAS06462.1
OG0000470	AMC57901.1	AAS06463.1
OG0000471	AMC57904.1	AAS06465.1
OG0000472	AMC57907.1	AAS06468.1
OG0000473	AMC57908.1	AAS06469.1
OG0000474	AMC57909.1	AAS06470.1
OG0000475	AMC57913.1, AMC57914.1	AAS06478.1
OG0000476	AMC57915.1	AAS06479.1
OG0000477	AMC57916.1	AAS06480.1
OG0000478	AMC57935.1	AAS06498.1
OG0000479	AMC57942.1	AAS06506.1
OG0000480	AMC57943.1	AAS06507.1
OG0000481	AMC57944.1	AAS06508.1
OG0000482	AMC57946.1	AAS06510.1
OG0000483	AMC57948.1	AAS06512.1
OG0000484	AMC57953.1	AAS06515.1
OG0000485	AMC57956.1	AAS06518.1
OG0000486	AMC57957.1	AAS06519.1
OG0000487	AMC57958.1	AAS06520.1
OG0000488	AMC57959.1	AAS06521.1
OG0000489	AMC57960.1	AAS06522.1
OG0000490	AMC57961.1	AAS06523.1
OG0000491	AMC57962.1	AAS06524.1, AAS05712.1
OG0000492	AMC57963.1	AAS06525.1
OG0000493	AMC57964.1	AAS06526.1
OG0000494	AMC57967.1	AAS06529.1
OG0000495	AMC57968.1	AAS06530.1
OG0000496	AMC57970.1	AAS06531.1
OG0000497	AMC57973.1	AAS06533.1
OG0000498	AMC57978.1	AAS06536.1
OG0000499	AMC57979.1	AAS06537.1
OG0000500	AMC57982.1	AAS06539.1
OG0000501	AMC57984.1	AAS06541.1
OG0000502	AMC57985.1	AAS06542.1
OG0000503	AMC57988.1	AAS06544.1
OG0000504	AMC57989.1	AAS06545.1
OG0000505	AMC57990.1	AAS06546.1
OG0000506	AMC57991.1	AAS06547.1
OG0000507	AMC57996.1	AAS06552.1
OG0000508	AMC57997.1	AAS06553.1
OG0000509	AMC58000.1	AAS06555.1
OG0000510	AMC58013.1	AAS06570.1
OG0000511	AMC58014.1	AAS06571.1
OG0000512	AMC58015.1	AAS06572.1
OG0000513	AMC58016.1	AAS06573.1
OG0000514	AMC58017.1	AAS06574.1
OG0000515	AMC58018.1	AAS06575.1
OG0000516	AMC58020.1	AAS06577.1
OG0000517	AMC58024.1	AAS06579.1
OG0000518	AMC58035.1	AAS06588.1
OG0000519	AMC58037.1	AAS06590.1
OG0000520	AMC58038.1	AAS06591.1
OG0000521	AMC58039.1	AAS06592.1
OG0000522	AMC58040.1	AAS06046.1, AAS06593.1
OG0000523	AMC58041.1	AAS06594.1
OG0000524	AMC58046.1	AAS06600.1
OG0000525	AMC58047.1	AAS06601.1
OG0000526	AMC58048.1	AAS06602.1
OG0000527	AMC58049.1	AAS06603.1
OG0000528	AMC58052.1	AAS06606.1
OG0000529	AMC58054.1	AAS06607.1
OG0000530	AMC58056.1	AAS06609.1
OG0000531	AMC58134.1	AAS06654.1
OG0000532	AMC58135.1	AAS06655.1
OG0000533	AMC58136.1	AAS06656.1
OG0000534	AMC58137.1	AAS06657.1
OG0000535	AMC58138.1	AAS06658.1
OG0000536	AMC58139.1	AAS06659.1
OG0000537	AMC58140.1	AAS06660.1
OG0000538	AMC58141.1	AAS06661.1
OG0000539	AMC58142.1	AAS06662.1
OG0000540	AMC58143.1	AAS06663.1
OG0000541	AMC58144.1	AAS06666.1
OG0000542	AMC58148.1	AAS06668.1
OG0000543	AMC58149.1	AAS06669.1
OG0000544	AMC58153.1	AAS06675.1
OG0000545	AMC58155.1	AAS06676.1
OG0000546	AMC58158.1	AAS06679.1
OG0000547	AMC58171.1	AAS06680.1
OG0000548	AMC58172.1	AAS06681.1
OG0000549	AMC58175.1	AAS06682.1
OG0000550	AMC58188.1	AAS06690.1
OG0000551	AMC58189.1	AAS06691.1
OG0000552	AMC58190.1	AAS06692.1
OG0000553	AMC58207.1	AAS06710.1
OG0000554	AMC58208.1	AAS06711.1
OG0000555	AMC58209.1	AAS06712.1
OG0000556	AMC58210.1	AAS06713.1
OG0000557	AMC58211.1	AAS06714.1
OG0000558	AMC58212.1	AAS06715.1
OG0000559	AMC58213.1	AAS06716.1
OG0000560	AMC58214.1	AAS06717.1
OG0000561	AMC58215.1	AAS06718.1
OG0000562	AMC58216.1	AAS06719.1
OG0000563	AMC58217.1	AAS06720.1
OG0000564	AMC58220.1	AAS06723.1, AAS06725.1
OG0000565	AMC58221.1	AAS06727.1
OG0000566	AMC58222.1	AAS06728.1
OG0000567	AMC58223.1	AAS06729.1
OG0000568	AMC58224.1	AAS06730.1
OG0000569	AMC58225.1	AAS06731.1
OG0000570	AMC58226.1	AAS06732.1
OG0000571	AMC58227.1	AAS06733.1
OG0000572	AMC58228.1	AAS06734.1
OG0000573	AMC58229.1	AAS06735.1
OG0000574	AMC58230.1	AAS06736.1
OG0000575	AMC58238.1	AAS06746.1
OG0000576	AMC58240.1	AAS06748.1
OG0000577	AMC58241.1	AAS06749.1
OG0000578	AMC58242.1	AAS06750.1
OG0000579	AMC58265.1	AAS03061.1, AAS06763.1
OG0000580	AMC58275.1	AAS02910.1
OG0000581	AMC58276.1	AAS02911.1, AAS02858.1
OG0000582	AMC58283.1	AAS03796.1, AAS02918.1
OG0000583	AMC58286.1	AAS02921.1, AAS03048.1
OG0000584	AMC58287.1	AAS02922.1, AAS05098.1
OG0000585	AMC58288.1	AAS02923.1
OG0000586	AMC58294.1	AAS02928.1
OG0000587	AMC58297.1	AAS02931.1
OG0000588	AMC58298.1	AAS02932.1
OG0000589	AMC58307.1	AAS02942.1
OG0000590	AMC58308.1	AAS02943.1
OG0000591	AMC58318.1	AAS02949.1
OG0000592	AMC58321.1	AAS02952.1
OG0000593	AMC58324.1	AAS06770.1
OG0000594	AMC58326.1	AAS02954.1
OG0000595	AMC58328.1	AAS02955.1
OG0000596	AMC58329.1	AAS02956.1
OG0000597	AMC58330.1	AAS02957.1
OG0000598	AMC58331.1	AAS02958.1
OG0000599	AMC58335.1	AAS02960.1
OG0000600	AMC58339.1	AAS02964.1
OG0000601	AMC58340.1	AAS02965.1
OG0000602	AMC58342.1	AAS02967.1
OG0000603	AMC58346.1	AAS02974.1
OG0000604	AMC58348.1	AAS02976.1, AAS05704.1
OG0000605	AMC58363.1	AAS02988.1, AAS05622.1
OG0000606	AMC58369.1	AAS03018.1, AAS03744.1
OG0000607	AMC58376.1	AAS03100.1
OG0000608	AMC58377.1	AAS03956.1, AAS03101.1
OG0000609	AMC58384.1	AAS03116.1
OG0000610	AMC58385.1	AAS03117.1
OG0000611	AMC58386.1	AAS03118.1
OG0000612	AMC58390.1	AAS03122.1
OG0000613	AMC58394.1	AAS03127.1
OG0000614	AMC58399.1	AAS03131.1
OG0000615	AMC58400.1	AAS03132.1
OG0000616	AMC58402.1	AAS03133.1
OG0000617	AMC58404.1	AAS03135.1
OG0000618	AMC58408.1	AAS03139.1
OG0000619	AMC58409.1	AAS03140.1
OG0000620	AMC58411.1	AAS03142.1
OG0000621	AMC58425.1	AAS03146.1
OG0000622	AMC58432.1	AAS03151.1
OG0000623	AMC58434.1	AAS03157.1
OG0000624	AMC58440.1	AAS03162.1
OG0000625	AMC58442.1	AAS03163.1
OG0000626	AMC58458.1	AAS03186.1
OG0000627	AMC58473.1	AAS03197.1, AAS03646.1
OG0000628	AMC58476.1	AAS03202.1, AAS05782.1
OG0000629	AMC58478.1	AAS03645.1, AAS03206.1
OG0000630	AMC58480.1	AAS03208.1
OG0000631	AMC58481.1	AAS03209.1
OG0000632	AMC58482.1	AAS03210.1
OG0000633	AMC58483.1	AAS03212.1
OG0000634	AMC58484.1	AAS03213.1
OG0000635	AMC58485.1	AAS03214.1
OG0000636	AMC58487.1	AAS03217.1
OG0000637	AMC58488.1	AAS03218.1
OG0000638	AMC58489.1	AAS03219.1
OG0000639	AMC58490.1	AAS03220.1
OG0000640	AMC58503.1	AAS03225.1
OG0000641	AMC58507.1	AAS02397.1
OG0000642	AMC58519.1	AAS03232.1
OG0000643	AMC58521.1	AAS03233.1
OG0000644	AMC58522.1	AAS03234.1
OG0000645	AMC58523.1	AAS03235.1
OG0000646	AMC58524.1	AAS03236.1
OG0000647	AMC58525.1	AAS03237.1
OG0000648	AMC58529.1, AMC58528.1	AAS06756.1
OG0000649	AMC58534.1	AAS03239.1
OG0000650	AMC58535.1	AAS03240.1
OG0000651	AMC58536.1	AAS03241.1
OG0000652	AMC58538.1	AAS03242.1
OG0000653	AMC58539.1	AAS03243.1
OG0000654	AMC58540.1	AAS03244.1
OG0000655	AMC58543.1	AAS03255.1
OG0000656	AMC58547.1	AAS03260.1
OG0000657	AMC58549.1	AAS03261.1
OG0000658	AMC58553.1	AAS03265.1, AAS03268.1
OG0000659	AMC58554.1	AAS03289.1
OG0000660	AMC58555.1	AAS03290.1
OG0000661	AMC58556.1	AAS03291.1
OG0000662	AMC58557.1	AAS03292.1
OG0000663	AMC58558.1	AAS03293.1
OG0000664	AMC58559.1	AAS03294.1
OG0000665	AMC58560.1	AAS03295.1
OG0000666	AMC58561.1	AAS03296.1
OG0000667	AMC58562.1	AAS03298.1
OG0000668	AMC58563.1	AAS03300.1
OG0000669	AMC58564.1	AAS03301.1
OG0000670	AMC58567.1	AAS03304.1
OG0000671	AMC58572.1	AAS03308.1
OG0000672	AMC58573.1	AAS03309.1
OG0000673	AMC58575.1	AAS03310.1
OG0000674	AMC58630.1	AAS03335.1
OG0000675	AMC58631.1	AAS03336.1
OG0000676	AMC58636.1	AAS03342.1
OG0000677	AMC58638.1	AAS03344.1
OG0000678	AMC58639.1	AAS03345.1
OG0000679	AMC58641.1	AAS05024.1
OG0000680	AMC58644.1	AAS05020.1
OG0000682	AMC58654.1	AAS05017.1
OG0000683	AMC58656.1	AAS05015.1
OG0000684	AMC58657.1	AAS05014.1
OG0000685	AMC58658.1	AAS05013.1
OG0000686	AMC58660.1	AAS05010.1
OG0000687	AMC58661.1	AAS05009.1
OG0000688	AMC58662.1	AAS05008.1
OG0000689	AMC58669.1	AAS05005.1
OG0000690	AMC58670.1	AAS05004.1
OG0000691	AMC58671.1	AAS05003.1
OG0000692	AMC58672.1	AAS05002.1
OG0000693	AMC58673.1	AAS05001.1
OG0000694	AMC58674.1	AAS05000.1
OG0000695	AMC58675.1	AAS04999.1
OG0000696	AMC58686.1	AAS04004.1, AAS04988.1
OG0000697	AMC58692.1	AAS04981.1
OG0000698	AMC58698.1	AAS04644.1, AAS04979.1
OG0000699	AMC58699.1	AAS04978.1
OG0000700	AMC58711.1	AAS04954.1, AAS05664.1
OG0000701	AMC58713.1	AAS04641.1, AAS04952.1
OG0000702	AMC58714.1	AAS06755.1, AAS04951.1
OG0000703	AMC58722.1	AAS04947.1
OG0000704	AMC58726.1	AAS04943.1
OG0000705	AMC58728.1	AAS04942.1
OG0000706	AMC58729.1	AAS04941.1
OG0000707	AMC58730.1	AAS04940.1
OG0000708	AMC58733.1	AAS02686.1, AAS04936.1
OG0000709	AMC58736.1	AAS04933.1
OG0000710	AMC58737.1	AAS04932.1
OG0000711	AMC58743.1	AAS04929.1
OG0000712	AMC58745.1	AAS04928.1
OG0000713	AMC58750.1	AAS04923.1
OG0000714	AMC58755.1	AAS04551.1
OG0000715	AMC58764.1	AAS04897.1
OG0000716	AMC58771.1	AAS04895.1
OG0000717	AMC58772.1	AAS04891.1
OG0000718	AMC58775.1	AAS04889.1
OG0000719	AMC58777.1	AAS04887.1
OG0000720	AMC58778.1	AAS04886.1
OG0000721	AMC58779.1	AAS04885.1
OG0000722	AMC58780.1	AAS04884.1
OG0000723	AMC58783.1	AAS04881.1
OG0000724	AMC58790.1	AAS04875.1
OG0000725	AMC58791.1	AAS04874.1
OG0000726	AMC58792.1	AAS04873.1
OG0000727	AMC58793.1	AAS04872.1
OG0000728	AMC58794.1	AAS04871.1
OG0000729	AMC58800.1	AAS04870.1
OG0000730	AMC58801.1	AAS02903.1, AAS04869.1
OG0000731	AMC58803.1	AAS04382.1, AAS04867.1
OG0000732	AMC58807.1	AAS04865.1
OG0000733	AMC58809.1	AAS04864.1
OG0000734	AMC58810.1	AAS04863.1
OG0000735	AMC58811.1	AAS04862.1
OG0000736	AMC58812.1	AAS04859.1
OG0000737	AMC58814.1	AAS04858.1
OG0000738	AMC58819.1	AAS04856.1
OG0000739	AMC58823.1	AAS04853.1
OG0000740	AMC58824.1	AAS04852.1
OG0000741	AMC58826.1	AAS04850.1
OG0000742	AMC58827.1	AAS04839.1
OG0000743	AMC58829.1	AAS04837.1
OG0000744	AMC58833.1, AMC58832.1	AAS04834.1
OG0000745	AMC58835.1	AAS04832.1
OG0000746	AMC58839.1	AAS02898.1, AAS04826.1
OG0000747	AMC58851.1	AAS04817.1
OG0000748	AMC58853.1	AAS04816.1
OG0000749	AMC58854.1	AAS04815.1
OG0000750	AMC58855.1	AAS04814.1
OG0000751	AMC58856.1	AAS04813.1
OG0000752	AMC58857.1	AAS04811.1
OG0000753	AMC58858.1	AAS04810.1
OG0000754	AMC58859.1	AAS06234.1, AAS03273.1
OG0000755	AMC58860.1	AAS04808.1
OG0000756	AMC58861.1	AAS04807.1
OG0000757	AMC58862.1	AAS04806.1
OG0000758	AMC58863.1	AAS04805.1
OG0000759	AMC58866.1	AAS04801.1, AAS04916.1
OG0000760	AMC58873.1	AAS04787.1
OG0000761	AMC58875.1	AAS04785.1
OG0000762	AMC58876.1	AAS04784.1
OG0000763	AMC58878.1	AAS04783.1
OG0000764	AMC58881.1	AAS04779.1
OG0000765	AMC58884.1	AAS04777.1
OG0000766	AMC58885.1	AAS04776.1
OG0000767	AMC58886.1	AAS04775.1
OG0000768	AMC58887.1	AAS04774.1
OG0000769	AMC58888.1	AAS04773.1
OG0000770	AMC58889.1	AAS04772.1
OG0000771	AMC58890.1	AAS04771.1
OG0000772	AMC58891.1	AAS04770.1
OG0000773	AMC58892.1	AAS04769.1
OG0000774	AMC58893.1	AAS04768.1
OG0000775	AMC58894.1	AAS04767.1
OG0000776	AMC58895.1	AAS04766.1
OG0000777	AMC58898.1	AAS04765.1
OG0000778	AMC58899.1	AAS04764.1
OG0000779	AMC58900.1	AAS04762.1
OG0000780	AMC58906.1	AAS04756.1
OG0000781	AMC58908.1	AAS04754.1
OG0000782	AMC58909.1	AAS04753.1
OG0000783	AMC58910.1	AAS04752.1
OG0000784	AMC58917.1	AAS04746.1
OG0000785	AMC58918.1	AAS04745.1
OG0000786	AMC58919.1	AAS04744.1
OG0000787	AMC58923.1	AAS04742.1
OG0000788	AMC58924.1	AAS04741.1
OG0000789	AMC58925.1	AAS04740.1
OG0000790	AMC58926.1	AAS04739.1
OG0000791	AMC58927.1	AAS04737.1
OG0000792	AMC58928.1	AAS04736.1
OG0000793	AMC58929.1	AAS04735.1
OG0000794	AMC58930.1	AAS02342.1, AAS03872.1
OG0000795	AMC58931.1	AAS02343.1, AAS03871.1
OG0000796	AMC58933.1	AAS03869.1, AAS05697.1
OG0000797	AMC58944.1	AAS03665.1
OG0000798	AMC58951.1, AMC58952.1	AAS06474.1
OG0000799	AMC58971.1	AAS03432.1
OG0000800	AMC58972.1	AAS03433.1
OG0000801	AMC58974.1	AAS03435.1
OG0000802	AMC58975.1	AAS03436.1
OG0000803	AMC58977.1	AAS03437.1
OG0000804	AMC58981.1	AAS03439.1
OG0000805	AMC58982.1	AAS03440.1
OG0000806	AMC58983.1	AAS03441.1
OG0000807	AMC58984.1	AAS03442.1
OG0000808	AMC58985.1	AAS03443.1
OG0000809	AMC58995.1	AAS03447.1
OG0000810	AMC58997.1	AAS03448.1
OG0000811	AMC58998.1	AAS03449.1
OG0000812	AMC58999.1	AAS03450.1
OG0000813	AMC59001.1	AAS03452.1
OG0000814	AMC59003.1	AAS03453.1
OG0000815	AMC59004.1	AAS03454.1
OG0000816	AMC59005.1	AAS03455.1
OG0000817	AMC59006.1	AAS03456.1
OG0000818	AMC59009.1	AAS03457.1
OG0000819	AMC59010.1	AAS03458.1
OG0000820	AMC59011.1	AAS03459.1
OG0000821	AMC59014.1	AAS03463.1
OG0000822	AMC59015.1	AAS03464.1
OG0000823	AMC59016.1	AAS03465.1
OG0000824	AMC59017.1	AAS03466.1
OG0000825	AMC59021.1	AAS06047.1, AAS03476.1
OG0000826	AMC59022.1	AAS03477.1, AAS05266.1
OG0000827	AMC59028.1	AAS06362.1
OG0000828	AMC59030.1	AAS03481.1
OG0000829	AMC59031.1	AAS03482.1
OG0000830	AMC59032.1	AAS03483.1
OG0000831	AMC59036.1	AAS03484.1
OG0000832	AMC59038.1	AAS02685.1, AAS06651.1
OG0000833	AMC59043.1	AAS03491.1
OG0000834	AMC59044.1	AAS03492.1
OG0000835	AMC59046.1	AAS03494.1
OG0000836	AMC59047.1	AAS03495.1
OG0000837	AMC59052.1	AAS03496.1
OG0000838	AMC59058.1	AAS03499.1
OG0000839	AMC59059.1	AAS03500.1
OG0000840	AMC59060.1	AAS03501.1
OG0000841	AMC59061.1	AAS03502.1
OG0000842	AMC59062.1	AAS03503.1
OG0000843	AMC59063.1	AAS03504.1
OG0000844	AMC59064.1	AAS03505.1
OG0000845	AMC59065.1	AAS03506.1
OG0000846	AMC59066.1	AAS03507.1
OG0000847	AMC59067.1	AAS03508.1
OG0000848	AMC59068.1	AAS03509.1
OG0000849	AMC59073.1	AAS03513.1
OG0000850	AMC59075.1	AAS03515.1
OG0000851	AMC59077.1	AAS03517.1
OG0000852	AMC59078.1	AAS03518.1
OG0000853	AMC59081.1	AAS03519.1
OG0000854	AMC59082.1	AAS03520.1
OG0000855	AMC59084.1	AAS03521.1
OG0000856	AMC59085.1	AAS03522.1
OG0000857	AMC59086.1	AAS03523.1
OG0000858	AMC59089.1	AAS03526.1
OG0000859	AMC59090.1	AAS03527.1
OG0000860	AMC59091.1	AAS03528.1
OG0000861	AMC59092.1	AAS03529.1
OG0000862	AMC59093.1	AAS03530.1
OG0000863	AMC59100.1	AAS03542.1
OG0000864	AMC59126.1	AAS06311.1, AAS03735.1
OG0000865	AMC59150.1	AAS06802.1, AAS03562.1
OG0000866	AMC59151.1	AAS03563.1
OG0000867	AMC59152.1	AAS02495.1, AAS03565.1
OG0000868	AMC59153.1	AAS03566.1
OG0000869	AMC59154.1	AAS03567.1
OG0000870	AMC59155.1	AAS03568.1
OG0000871	AMC59159.1	AAS06406.1, AAS03572.1
OG0000872	AMC59161.1	AAS03812.1, AAS03573.1
OG0000873	AMC59162.1	AAS03574.1
OG0000874	AMC59164.1	AAS03577.1, AAS04026.1
OG0000875	AMC59171.1	AAS06709.1, AAS05600.1
OG0000876	AMC59175.1	AAS03581.1
OG0000877	AMC59180.1	AAS05810.1, AAS03587.1
OG0000878	AMC59182.1	AAS03589.1
OG0000879	AMC59184.1	AAS03591.1
OG0000880	AMC59185.1	AAS03592.1
OG0000881	AMC59186.1	AAS03593.1
